TCAD or WCAD Property ID(s),Facility Address,Facility Category,Building Name,Calculated kWh/sqft,Portfolio Manager Energy Star Score,As of
126807,"4000 LONG CHAMP DR
AUSTIN, TX 78746
(30.336684, -97.802909)",RETAIL CENTER,126807_004,0.36,,10/01/2015 12:00:00 AM
473401,"3230 TRAVIS COUNTRY CIR
AUSTIN, TX 78735
(30.255216, -97.844948)",EDUCATIONAL FACILITY,473401_003,17.39,,10/01/2015 12:00:00 AM
255085,"10405 METRIC BLVD
AUSTIN, TX 78758
(30.383012, -97.71392)",INDUSTRIAL,255085_001,6.78,18,10/01/2015 12:00:00 AM
192788,"320 CONGRESS AVE
AUSTIN, TX 78701
(30.265527, -97.743732)",OFFICE MED 10-35,192788_Campus,18.10,,10/01/2015 12:00:00 AM
"429274, 429275, 429276","6800 BURLESON RD
AUSTIN, TX 78744
(30.201243, -97.709249)",INDUSTRIAL,429274_001,14.89,,10/01/2015 12:00:00 AM
503140,"11712 N LAMAR BLVD
AUSTIN, TX 78753
(30.386953, -97.683902)",MINI WAREHOUSE,503140_002,2.73,,10/01/2015 12:00:00 AM
235497,"8601 CROSS PARK DR
AUSTIN, TX 78754
(30.341042, -97.67695)",INDUSTRIAL,235497_001_002,19.44,,10/01/2015 12:00:00 AM
731137,"1108 LAVACA ST
AUSTIN, TX 78701
(30.274106, -97.743208)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),731137_Campus,27.44,,10/01/2015 12:00:00 AM
136161,"3563 FAR WEST BLVD
AUSTIN, TX 78731
(30.353511, -97.753506)",RETAIL CENTER,Old Quarry Bldg 1,33.59,,10/01/2015 12:00:00 AM
292486,"4720 WINNEBAGO LN
Austin, TX 78744
(30.208273, -97.734144)",INDUSTRIAL,292486_Campus,2.95,,10/01/2015 12:00:00 AM
R381821,"13640 BRIARWICK DR
AUSTIN, TX 78729
(30.470831, -97.770354)",OFFICE LG &gt; 35000,R381821_B,10.47,3,10/01/2015 12:00:00 AM
522984,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.391668, -97.847619)",OFFICE LG &gt; 35000,522984_010,15.21,,10/01/2015 12:00:00 AM
199849,"1601 GUADALUPE ST
AUSTIN, TX 78701
(30.278899, -97.742627)",RESTAURANT\BAR,199849_Campus,28.62,,10/01/2015 12:00:00 AM
190189,"6000 BOLM RD
AUSTIN, TX 78721
(30.256074, -97.685534)",INDUSTRIAL,190189_Campus,5.32,,10/01/2015 12:00:00 AM
235504,"8619 WALL ST
AUSTIN, TX 78754
(30.339938, -97.67203)",INDUSTRIAL,235504_006,5.91,,10/01/2015 12:00:00 AM
249273,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.364918, -97.695974)",RETAIL CENTER,249273_Campus,18.90,,10/01/2015 12:00:00 AM
"307935, 310848","2901 S CONGRESS AVE
Austin, TX 78704
(30.23219, -97.758643)",EDUCATIONAL FACILITY,310848_RCC,36.88,,10/01/2015 12:00:00 AM
192853,"216 E 4 ST
Austin, TX 78701
(30.265772, -97.742007)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),192853_Campus,22.64,,10/01/2015 12:00:00 AM
235086,"7121 N LAMAR BLVD
AUSTIN, TX 78752
(30.339114, -97.718033)",WAREHOUSE,235086_001,0.22,,10/01/2015 12:00:00 AM
126012,"3301 FM 2222 DR
AUSTIN, TX 78731
(30.275081, -97.801341)",OFFICE LG &gt; 35000,126012_001,16.85,,10/01/2015 12:00:00 AM
486425,"613 SLAUGHTER LA
AUSTIN, TX 78748
(30.173169, -97.800512)",RETAIL CENTER,486425_002,18.60,,10/01/2015 12:00:00 AM
107240,"906 WEST LYNN ST
AUSTIN, TX 78703
(30.278098, -97.760566)",EDUCATIONAL FACILITY,107240_Campus,9.01,96,10/01/2015 12:00:00 AM
210511,"300 W 29 ST
Austin, TX 78705
(30.294384, -97.740623)",OFFICE MED 10-35,210511_001,8.16,,10/01/2015 12:00:00 AM
315635,"501 RADAM LA
AUSTIN, TX 78745
(30.22365, -97.769569)",WAREHOUSE,315635_Campus,1.44,,10/01/2015 12:00:00 AM
293670,"4704 CARTER LN
Austin, TX 78744
(30.205582, -97.735545)",MINI WAREHOUSE,293670_001,0.44,,10/01/2015 12:00:00 AM
226761,"6111 OLD
AUSTIN, TX 78749
(30.234258, -97.85153)",AUTOMOTIVE SERVICE,226761_001,5.38,,10/01/2015 12:00:00 AM
"155453, 155454, 155452","10415 MORADO CIR
AUSTIN, TX 78759
(30.400711, -97.749615)",OFFICE LG &gt; 35000,155452_001,21.32,55.5,10/01/2015 12:00:00 AM
512301,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.191158, -97.772562)",RETAIL CENTER,512301_Campus,26.89,,10/01/2015 12:00:00 AM
316378,"4301 WILLOW SPRINGS RD
AUSTIN, TX 78704
(30.216416, -97.762754)",WAREHOUSE,316378_001,1.53,,10/01/2015 12:00:00 AM
214615,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306075, -97.745038)",MEDICAL FACILITY,214615_Garage_Wabash,36.10,,10/01/2015 12:00:00 AM
547969,"10407 BURNET RD
AUSTIN, TX 78758
(30.387709, -97.723001)",OFFICE MED 10-35,547969_001,28.34,80,10/01/2015 12:00:00 AM
511572,"3601 W WILLIAM CANNON DR
Austin, TX 78745
(30.214592, -97.832104)",OTHER,511572_Campus,18.23,,10/01/2015 12:00:00 AM
427366,"2001 HOWARD LA
AUSTIN, TX 78728
(30.430906, -97.684638)",OTHER,427366_001,5.96,,10/01/2015 12:00:00 AM
206610,"2401 PEARL ST
AUSTIN, TX 78705
(30.288579, -97.74672)",DORMITORY\RETIREMENT FACILITY,KAPPA ALPHA THETA,22.52,,10/01/2015 12:00:00 AM
460821,"2013 RUTLAND DR
Austin, TX 78758
(30.380451, -97.715561)",INDUSTRIAL,460821_001,4.73,,10/01/2015 12:00:00 AM
379128,"6005 PARMER LA
AUSTIN, TX 78660
(30.3677, -97.609799)",STORE\GROCERY (W/sqft &gt; 5),379128_001,68.62,44,10/01/2015 12:00:00 AM
224829,"2117 W 49 ST
AUSTIN, TX 78756
(30.320451, -97.740218)",EDUCATIONAL FACILITY,224829_Campus,11.07,87,10/01/2015 12:00:00 AM
309953,"3400 S CONGRESS AVE
AUSTIN, TX 78704
(30.229432, -97.76037)",MOTEL\HOTEL (W/sqft &gt; 3),309953_001,19.94,,10/01/2015 12:00:00 AM
316356,"210 E ST ELMO RD
Austin, TX 78745
(30.21662, -97.765416)",INDUSTRIAL,316356_001,2.63,,10/01/2015 12:00:00 AM
704187,"7950 RESEARCH BLVD
AUSTIN, TX 78758
(30.350108, -97.714156)",RETAIL CENTER,704187_003,9.30,,10/01/2015 12:00:00 AM
203836,"2010 GUADALUPE ST
AUSTIN, TX 78705
(30.283302, -97.742011)",CONGREGATION FACILITY,203836_001,5.20,19.5,10/01/2015 12:00:00 AM
105454,"1715 W CESAR CHAVEZ ST
AUSTIN, TX 78703
(30.273374, -97.765471)",EDUCATIONAL FACILITY,105454_Campus,13.45,56.5,10/01/2015 12:00:00 AM
315646,"4210 S CONGRESS AVE
AUSTIN, TX 78745
(30.220736, -97.765301)",OFFICE LG &gt; 35000,315646_001,14.33,,10/01/2015 12:00:00 AM
252833,"9111 RESEARCH BLVD
AUSTIN, TX 78758
(30.374787, -97.728974)",RECREATION,252833_Campus,9.41,,10/01/2015 12:00:00 AM
532186,"7415 MANCHACA RD
AUSTIN, TX 78745
(30.196793, -97.809371)",CONGREGATION FACILITY,532186_002,7.75,,10/01/2015 12:00:00 AM
285503,"1500 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.237968, -97.720074)",RETAIL CENTER,285503_001,16.86,,10/01/2015 12:00:00 AM
R056477,"11200 LAKELINE MALL
AUSTIN, TX 78750
(30.480048, -97.797406)",RETAIL CENTER,R056477_Campus,46.05,,10/01/2015 12:00:00 AM
310847,"300 WOODWARD ST
AUSTIN, TX 78704
(30.227778, -97.756218)",EDUCATIONAL FACILITY,310847_HCH,16.08,,10/01/2015 12:00:00 AM
769480,"8301 FURNESS DR
AUSTIN, TX 78753
(30.34297, -97.689676)",EDUCATIONAL FACILITY,769480_Campus,9.08,86.5,10/01/2015 12:00:00 AM
476562,"1700 RIO GRANDE ST
Austin, TX 78701
(30.280868, -97.745494)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),476562_001,23.34,,10/01/2015 12:00:00 AM
255080,"10505 BOYER BLVD
AUSTIN, TX 78758
(30.383335, -97.712245)",INDUSTRIAL,255080_Campus,6.27,,10/01/2015 12:00:00 AM
249930,"8711 BURNET RD
AUSTIN, TX 78757
(30.369425, -97.727376)",WAREHOUSE,249930_001,0.33,,10/01/2015 12:00:00 AM
738697,"820 W HOWARD LA
AUSTIN, TX 78753
(30.421288, -97.664534)",INDUSTRIAL (W/sqft &gt; 3),738697_001,70.80,67.8,10/01/2015 12:00:00 AM
192799,"409 COLORADO ST
AUSTIN, TX 78701
(30.267091, -97.744624)",RESTAURANT\BAR,192799_001,31.47,,10/01/2015 12:00:00 AM
196453,"6330 HAROLD CT
AUSTIN, TX 78721
(30.267409, -97.672033)",MINI WAREHOUSE,196453_002,1.16,,10/01/2015 12:00:00 AM
239661,"8128 N LAMAR BLVD
AUSTIN, TX 78753
(30.350769, -97.709385)",MINI WAREHOUSE,239661_Campus,1.22,97,10/01/2015 12:00:00 AM
292491,"3830 PROMONTORY POINT DR
Austin, TX 78744
(30.209436, -97.729372)",INDUSTRIAL,292491_003,11.56,,10/01/2015 12:00:00 AM
228188,"7104 Berkman Drive
Austin, TX 78752
(30.323992, -97.689633)",EDUCATIONAL FACILITY,228188_Reagan_Campus,10.88,58.5,10/01/2015 12:00:00 AM
494809,"7500 RIALTO BLVD
AUSTIN, TX 78735
(30.252458, -97.870861)",OFFICE LG &gt; 35000,494809_002,12.07,87,10/01/2015 12:00:00 AM
190725,"220 S CONGRESS AVE
AUSTIN, TX 78704
(30.259677, -97.745953)",STORE\GROCERY,190725_001,0.43,,10/01/2015 12:00:00 AM
187780,"205 E RIVERSIDE DR
AUSTIN, TX 78704
(30.254989, -97.744783)",INDUSTRIAL,187780_002,7.15,,10/01/2015 12:00:00 AM
316356,"210 E ST ELMO RD
Austin, TX 78745
(30.21662, -97.765416)",INDUSTRIAL,316356_003,2.63,,10/01/2015 12:00:00 AM
196728,"812 SAN ANTONIO ST
AUSTIN, TX 78701
(30.271882, -97.7464)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),196728_001,21.49,55.5,10/01/2015 12:00:00 AM
548498,"12815 N INTERSTATE
Austin, TX 78753
(30.412287, -97.673042)",RETAIL CENTER,548498_Campus,188.67,,10/01/2015 12:00:00 AM
323203,"1010 TURTLE CREEK BLVD
AUSTIN, TX 78745
(30.205259, -97.789698)",EDUCATIONAL FACILITY,323203_Campus,10.89,81.5,10/01/2015 12:00:00 AM
547841,"2521 RUTLAND DR
AUSTIN, TX 78758
(30.383044, -97.722868)",RETAIL CENTER,547841_001,16.86,,10/01/2015 12:00:00 AM
R381821,"13640 BRIARWICK DR
AUSTIN, TX 78729
(30.470831, -97.770354)",OFFICE LG &gt; 35000,R381821_A,10.47,66,10/01/2015 12:00:00 AM
759021,"7000 BURLESON RD
AUSTIN, TX 78744
(30.198558, -97.706058)",INDUSTRIAL,759021_001,5.67,,10/01/2015 12:00:00 AM
204474,"2200 TILLERY ST
AUSTIN, TX 78723
(30.285704, -97.702323)",INDUSTRIAL,204474_Campus,1.48,,10/01/2015 12:00:00 AM
191957,"1645 E 6 ST
AUSTIN, TX 78702
(30.262735, -97.725645)",INDUSTRIAL,191957_Campus,7.48,,10/01/2015 12:00:00 AM
R066553,"12212 TECHNOLOGY BLVD
AUSTIN, TX 78727
(30.433811, -97.760061)",OFFICE LG &gt; 35000,R066553_Campus,27.96,,10/01/2015 12:00:00 AM
586075,"3407 WELLS BRANCH PKWY
AUSTIN, TX 78728
(30.439901, -97.6963)",STORE\GROCERY,586075_001,0.27,55,10/01/2015 12:00:00 AM
R401743,"7011 MCNEIL DR
AUSTIN, TX 78727
(30.436913, -97.761879)",AUTOMOTIVE SALES,R401743_Campus,34.36,,10/01/2015 12:00:00 AM
"734716, 734718","5800 W SLAUGHTER LA
AUSTIN, TX 78749
(30.200438, -97.876151)",STORE\GROCERY (W/sqft &gt; 5),734718_001,51.22,60,10/01/2015 12:00:00 AM
426025,"8107 SPRINGDALE RD
AUSTIN, TX 78724
(30.325165, -97.657186)",INDUSTRIAL,426025_001,11.23,,10/01/2015 12:00:00 AM
255879,"9411 NEILS THOMPSON DR
AUSTIN, TX 78758
(30.382532, -97.733009)",INDUSTRIAL,255879_001,14.49,,10/01/2015 12:00:00 AM
764215,"7901 CAMERON RD
Austin, TX 78754
(30.334816, -97.684839)",OFFICE MED 10-35,764215_Campus,2.20,,10/01/2015 12:00:00 AM
R081222,"12989 RESEARCH BLVD
AUSTIN, TX 78729
(30.438177, -97.776493)",MOTEL\HOTEL,R081222_Campus,17.10,,10/01/2015 12:00:00 AM
806878,"701 E Parmer Ln
Austin, TX 78753
(30.401793, -97.656798)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),806878_001_002,90.72,3,10/01/2015 12:00:00 AM
232787,"1601 RUTHERFORD LA
AUSTIN, TX 78754
(30.336176, -97.681252)",INDUSTRIAL,232787_001,0.30,,10/01/2015 12:00:00 AM
197753,"1190 HARGRAVE ST
AUSTIN, TX 78702
(30.275197, -97.707943)",AUTOMOTIVE SERVICE,197753_002,8.78,73.5,10/01/2015 12:00:00 AM
526901,"12345 N LAMAR BLVD
AUSTIN, TX 78753
(30.404599, -97.678776)",OFFICE LG &gt; 35000,526901_Campus,0.27,,10/01/2015 12:00:00 AM
699583,"4220 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.221931, -97.838173)",RETAIL CENTER,699583_Campus,104.32,,10/01/2015 12:00:00 AM
227642,"5222 BURNET RD
AUSTIN, TX 78756
(30.324371, -97.739516)",RETAIL CENTER,227642_001,22.42,,10/01/2015 12:00:00 AM
254002,"9517 MCNEIL RD
AUSTIN, TX 78758
(30.378724, -97.724089)",WAREHOUSE (W/sqft &gt; 5),254002_Campus,18.86,,10/01/2015 12:00:00 AM
464220,"3601 SILVER DOLLAR CIR
AUSTIN, TX 78744
(30.206154, -97.711878)",INDUSTRIAL,464220_002,2.57,,10/01/2015 12:00:00 AM
204179,"2806 REAL ST
AUSTIN, TX 78722
(30.28244, -97.711754)",DORMITORY\RETIREMENT FACILITY,204179_001,24.15,,10/01/2015 12:00:00 AM
812919,"2900 Esperanza Crossing
Austin, TX 78758
(30.399117, -97.72212)",OFFICE LG &gt; 35000,812919_001,16.04,70,10/01/2015 12:00:00 AM
285461,"2000 E RIVERSIDE DR
AUSTIN, TX 78741
(30.240851, -97.727451)",STORE\GROCERY (W/sqft &gt; 5),285461_001,36.80,45,10/01/2015 12:00:00 AM
549353,"13209 BURNET RD
AUSTIN, TX 78727
(30.433058, -97.699348)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),549353_001,30.72,,10/01/2015 12:00:00 AM
442476,"4811 COMMERCIAL PARK DR
Austin, TX 78724
(30.323683, -97.655056)",WAREHOUSE,442476_Campus,6.56,,10/01/2015 12:00:00 AM
116504,"3700 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.294061, -97.783649)",OFFICE LG &gt; 35000,116504_Campus,0.32,,10/01/2015 12:00:00 AM
240446,"8227 N LAMAR BLVD
AUSTIN, TX 78753
(30.35164, -97.70796)",WAREHOUSE,240446_001,1.43,,10/01/2015 12:00:00 AM
551941,"5308 BURLESON RD
AUSTIN, TX 78744
(30.210026, -97.725936)",AUTOMOTIVE SERVICE,551941_Campus,10.95,,10/01/2015 12:00:00 AM
"760881, 760883","4901 FREIDRICH LA
AUSTIN, TX 78744
(30.204592, -97.753089)",INDUSTRIAL,760881_001,5.67,,10/01/2015 12:00:00 AM
232786,"8011 CAMERON RD
AUSTIN, TX 78754
(30.336077, -97.68402)",OFFICE LG &gt; 35000,232786_002,12.60,,10/01/2015 12:00:00 AM
238211,"8216 N INTERSTATE
Austin, TX 78753
(30.344919, -97.696845)",MOTEL\HOTEL,238211_001,11.68,,10/01/2015 12:00:00 AM
377798,"9500 9800 METRIC BLVD
AUSTIN, TX 78758
(30.37589, -97.71799)",INDUSTRIAL (W/sqft &gt; 3),377798_001,33.69,,10/01/2015 12:00:00 AM
827074,"1701 Lavaca St
Austin, TX 78701
(30.279416, -97.741224)",MOTEL\HOTEL,827074_001,13.72,,10/01/2015 12:00:00 AM
295753,"7101 BURLESON RD
Austin, TX 78744
(30.198558, -97.706058)",INDUSTRIAL,295753_002,4.24,,10/01/2015 12:00:00 AM
206870,"1025 E 32 ST
Austin, TX 78705
(30.289495, -97.72385)",MEDICAL FACILITY,206870_SDMC_PAVILION,97.40,,10/01/2015 12:00:00 AM
194314,"300 COLORADO ST
AUSTIN, TX 78701
(30.265934, -97.745058)",RESTAURANT\BAR,194314_Campus,70.19,,10/01/2015 12:00:00 AM
136468,"5910 COURTYARD DR
AUSTIN, TX 78731
(30.357059, -97.790696)",OFFICE MED 10-35,136468_001,31.01,15,10/01/2015 12:00:00 AM
219794,"4214 MEDICAL PKWY
AUSTIN, TX 78756
(30.312481, -97.742307)",OFFICE MED 10-35,219794_001,6.67,78,10/01/2015 12:00:00 AM
226574,"5400 N LAMAR BLVD
AUSTIN, TX 78751
(30.321902, -97.728874)",RETAIL CENTER,226574_003,0.60,,10/01/2015 12:00:00 AM
513090,"10025 MANCHACA RD
AUSTIN, TX 78748
(30.170862, -97.824768)",MINI WAREHOUSE,513090_Campus,1.41,,10/01/2015 12:00:00 AM
241272,"7601 BURNET RD
AUSTIN, TX 78757
(30.35306, -97.732709)",CONGREGATION FACILITY,241272_001,14.71,,10/01/2015 12:00:00 AM
255075,"10609 METRIC BLVD
AUSTIN, TX 78758
(30.38507, -97.712515)",WAREHOUSE,255075_001,3.73,,10/01/2015 12:00:00 AM
231144,"5800 BURNET RD
AUSTIN, TX 78756
(30.333376, -97.740025)",RETAIL CENTER,231144_002,16.77,,10/01/2015 12:00:00 AM
443291,"12900 DESSAU RD
AUSTIN, TX 78753
(30.397148, -97.642786)",EDUCATIONAL FACILITY,443291_Campus,1.94,81.5,10/01/2015 12:00:00 AM
494809,"7500 RIALTO BLVD
AUSTIN, TX 78735
(30.252458, -97.870861)",OFFICE LG &gt; 35000,494809_001,12.07,94,10/01/2015 12:00:00 AM
316318,"4201 S CONGRESS AVE
AUSTIN, TX 78745
(30.221011, -97.765131)",OTHER,316318_001_002_003,8.47,,10/01/2015 12:00:00 AM
194454,"201 E 6 ST
Austin, TX 78702
(30.267681, -97.741468)",RESTAURANT\BAR,194454_001,26.14,,10/01/2015 12:00:00 AM
784458,"2525 W ANDERSON LA
AUSTIN, TX 78757
(30.357068, -97.733075)",RETAIL CENTER,784458_001,26.39,62.5,10/01/2015 12:00:00 AM
748299,"8956 RESEARCH BLVD
AUSTIN, TX 78758
(30.371081, -97.722709)",MINI WAREHOUSE,748299_003,2.41,,10/01/2015 12:00:00 AM
282820,"800 INTERCHANGE BLVD
AUSTIN, TX 78721
(30.251499, -97.684987)",INDUSTRIAL,282820_001,8.31,48,10/01/2015 12:00:00 AM
287383,"520 WOODWARD ST
AUSTIN, TX 78704
(30.226496, -97.753614)",DORMITORY\RETIREMENT FACILITY,287383_APT1,2.26,,10/01/2015 12:00:00 AM
194563,"811 TRINITY ST
Austin, TX 78701
(30.269629, -97.7384)",CONGREGATION FACILITY,194563_001,2.29,,10/01/2015 12:00:00 AM
295735,"7303 BURLESON RD
Austin, TX 78744
(30.194595, -97.701351)",WAREHOUSE,295735_002,4.84,,10/01/2015 12:00:00 AM
292488,"3701 DROSSETT DR
AUSTIN, TX 78744
(30.211736, -97.730547)",INDUSTRIAL,292488_Campus,5.55,,10/01/2015 12:00:00 AM
245572,"7800 N MOPAC EXPY
AUSTIN, TX 78759
(30.361811, -97.744969)",OFFICE LG &gt; 35000,245572_001,17.44,68,10/01/2015 12:00:00 AM
325869,"2100 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.203229, -97.807997)",RETAIL CENTER,325869_001,7.43,,10/01/2015 12:00:00 AM
575643,"1106 W DITTMAR RD
AUSTIN, TX 78745
(30.185744, -97.804138)",DORMITORY\RETIREMENT FACILITY,575643_005,2.55,,10/01/2015 12:00:00 AM
155470,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.401922, -97.746122)",STORE\GROCERY (W/sqft &gt; 5),155470_001,73.38,57.3,10/01/2015 12:00:00 AM
212652,"801 W 34 ST
AUSTIN, TX 78705
(30.30172, -97.742672)",MEDICAL FACILITY,212652_001,7.86,41,10/01/2015 12:00:00 AM
371650,"7305 BURLESON RD
Austin, TX 78744
(30.194349, -97.70105)",WAREHOUSE,371650_001,4.85,,10/01/2015 12:00:00 AM
230115,"300 W HUNTLAND DR
AUSTIN, TX 78752
(30.330378, -97.71506)",RETAIL CENTER,230115_Campus,23.43,,10/01/2015 12:00:00 AM
"236462, 236463, 236464","705 W ANDERSON LA
AUSTIN, TX 78757
(30.346423, -97.711193)",INDUSTRIAL,236464_002,9.82,,10/01/2015 12:00:00 AM
237448,"7301 BURNET RD
AUSTIN, TX 78757
(30.349198, -97.735137)",RETAIL CENTER,237448_Campus,11.59,,10/01/2015 12:00:00 AM
232837,"8326 CROSS PARK DR
AUSTIN, TX 78754
(30.33596, -97.673033)",OFFICE MED 10-35,232837_Campus,19.34,,10/01/2015 12:00:00 AM
251483,"9315 MCNEIL RD
AUSTIN, TX 78758
(30.375644, -97.725485)",AUTOMOTIVE SERVICE,251483_003,14.67,,10/01/2015 12:00:00 AM
254021,"3001 INDUSTRIAL TER
AUSTIN, TX 78758
(30.380009, -97.729647)",WAREHOUSE,254021_001,6.49,,10/01/2015 12:00:00 AM
126011,"5311 BALCONES DR
AUSTIN, TX 78731
(30.335646, -97.758484)",STORE\GROCERY (W/sqft &gt; 5),126011_001,72.77,36.7,10/01/2015 12:00:00 AM
214879,"710 E 41 ST
AUSTIN, TX 78751
(30.30112, -97.725289)",OFFICE LG &gt; 35000,214879_Campus,2.37,,10/01/2015 12:00:00 AM
295773,"7910 BURLESON RD
AUSTIN, TX 78744
(30.187693, -97.693753)",WAREHOUSE,295773_001,4.26,,10/01/2015 12:00:00 AM
199828,"1300 LAVACA ST
Austin, TX 78701
(30.275993, -97.74252)",OFFICE MED 10-35,199828_001,26.88,,10/01/2015 12:00:00 AM
235464,"8101 CAMERON RD
AUSTIN, TX 78754
(30.336943, -97.683442)",WAREHOUSE,235464_003,8.80,88,10/01/2015 12:00:00 AM
243472,"825 E RUNDBERG LA
AUSTIN, TX 78753
(30.357477, -97.68676)",RETAIL CENTER,243472_001,24.68,27,10/01/2015 12:00:00 AM
255071,"10503 METROPOLITAN DR
AUSTIN, TX 78758
(30.385677, -97.716932)",INDUSTRIAL (W/sqft &gt; 3),255071_001,24.51,,10/01/2015 12:00:00 AM
217913,"4315 GUADALUPE ST
AUSTIN, TX 78751
(30.30927, -97.733995)",OFFICE MED 10-35,217913_001,14.20,,10/01/2015 12:00:00 AM
230428,"1101 WHEATLEY AVE
AUSTIN, TX 78752
(30.333648, -97.693197)",EDUCATIONAL FACILITY,230428_Rec_Center,9.60,,10/01/2015 12:00:00 AM
158148,"11277 TAYLOR DRAPER LA
AUSTIN, TX 78759
(30.411675, -97.753386)",DORMITORY\RETIREMENT FACILITY,158148_001,5.66,,10/01/2015 12:00:00 AM
458098,"12515 5 RESEARCH BLVD
Austin, TX 78759
(30.429875, -97.75978)",OFFICE LG &gt; 35000,458098_001,18.92,44,10/01/2015 12:00:00 AM
361726,"8500 CAMERON RD
AUSTIN, TX 78754
(30.341577, -97.680548)",INDUSTRIAL,361726_004,0.10,,10/01/2015 12:00:00 AM
302146,"1316 S CONGRESS AVE
Austin, TX 78704
(30.250578, -97.749297)",MOTEL\HOTEL (W/sqft &gt; 3),302146_Campus,24.63,,10/01/2015 12:00:00 AM
526395,"9330 UNITED DR
AUSTIN, TX 78758
(30.378619, -97.730031)",INDUSTRIAL,Compadre,1.47,41.5,10/01/2015 12:00:00 AM
442705,"8176 N MOPAC EXPY
AUSTIN, TX 78759
(30.366913, -97.743375)",RESTAURANT\BAR,442705_001,74.13,,10/01/2015 12:00:00 AM
232836,"2204 FORBES DR
AUSTIN, TX 78754
(30.334541, -97.673162)",WAREHOUSE,232836_003,11.56,,10/01/2015 12:00:00 AM
196869,"308 W 11 ST
AUSTIN, TX 78701
(30.273528, -97.743927)",OFFICE MED 10-35,196869_001,2.84,,10/01/2015 12:00:00 AM
R070708,"12835 POND SPRINGS RD
AUSTIN, TX 78729
(30.435611, -97.770333)",WAREHOUSE,R070708_002,1.31,,10/01/2015 12:00:00 AM
208873,"3208 RED RIVER ST
AUSTIN, TX 78705
(30.291723, -97.726752)",OFFICE MED 10-35,208873_001,1.74,,10/01/2015 12:00:00 AM
136853,"6101 WEST COURTYARD DR
Austin, TX 78730
(30.356795, -97.798078)",OFFICE MED 10-35,136853_001,5.29,,10/01/2015 12:00:00 AM
222816,"3500 Susquehanna Lane
Austin, TX 78723
(30.313785, -97.665786)",EDUCATIONAL FACILITY,222816_Campus,10.95,87,10/01/2015 12:00:00 AM
783956,"4001 TANNEHILL LA
AUSTIN, TX 78703
(30.278582, -97.674453)",EDUCATIONAL FACILITY,783956_Campus,13.88,67.5,10/01/2015 12:00:00 AM
245598,"3420 EXECUTIVE CENTER DR
Austin, TX 78731
(30.359302, -97.747227)",OFFICE LG &gt; 35000 (W/sqft &gt; 5),245598_001,11.16,,10/01/2015 12:00:00 AM
R057324,"9218 BALCONES CLUB DR
AUSTIN, TX 78750
(30.443276, -97.787577)",RECREATION,R057324_Campus,143.60,,10/01/2015 12:00:00 AM
R379647,"12455 RESEARCH BLVD
AUSTIN, TX 78759
(30.428656, -97.757343)",INDUSTRIAL (W/sqft &gt; 3),R379647_Campus,59.35,,10/01/2015 12:00:00 AM
478585,"12207 BRIGADOON LA
AUSTIN, TX 78727
(30.418862, -97.720065)",EDUCATIONAL FACILITY,478585_Campus,10.40,85,10/01/2015 12:00:00 AM
462474,"12554 RIATA VISTA CIR
AUSTIN, TX 78727
(30.431572, -97.738043)",OFFICE LG &gt; 35000,462474_001,11.49,94,10/01/2015 12:00:00 AM
292505,"3827 PROMONTORY POINT DR
AUSTIN, TX 78744
(30.20955, -97.72889)",WAREHOUSE,292505_001,13.20,,10/01/2015 12:00:00 AM
551942,"5214 BURLESON RD
AUSTIN, TX 78744
(30.210477, -97.726877)",INDUSTRIAL,551942_005,5.92,,10/01/2015 12:00:00 AM
211417,"710 W 29 ST
AUSTIN, TX 78705
(30.296176, -97.744374)",STORE\GROCERY,211417_001_002,21.22,79,10/01/2015 12:00:00 AM
292467,"4901 WINNEBAGO LN
Austin, TX 78744
(30.207441, -97.733082)",INDUSTRIAL,292467_001,4.24,72,10/01/2015 12:00:00 AM
217523,"1500 W 38 ST
AUSTIN, TX 78731
(30.307876, -97.749002)",MEDICAL FACILITY,217523_001,24.19,,10/01/2015 12:00:00 AM
R066563,"12306 TECHNOLOGY BLVD
AUSTIN, TX 78727
(30.435472, -97.759458)",INDUSTRIAL (W/sqft &gt; 3),R066563_Campus,26.53,,10/01/2015 12:00:00 AM
R489796,"13689 Research Blvd
Austin, TX 78750
(30.456491, -97.791675)",MOTEL\HOTEL (W/sqft &gt; 3),R489796_Campus,11.80,,10/01/2015 12:00:00 AM
426310,"1100 KRAMER LN
Austin, TX 78758
(30.382533, -97.693831)",INDUSTRIAL,426310_001,1.70,69.5,10/01/2015 12:00:00 AM
