Building ID,MapLot,Year Added,2016 Report Received,Report Type,Buildings Included,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Indoor Water Intensity (All Water Sources) (gal/ft2)
681-14,128-68,2015,Yes,Single,,157-175 Pleasant St,"173 Pleasant St
Cambridge, MA
(42.35920037000005, -71.11384332199998)",Residential,Multifamily Housing,2003,50000,President And Fellow Of Harvard College,C/O Harvard Real Estate Services,99,281786,961453.9,4778.00002192,477800,,,,,,,,,,1439253.9,1414578.8,28.8,28.3,3520655.1,3494746.3,70.4,69.9,118.4,2.4,1280.7,25.61
318-29,159-1,2015,Yes,Single,,1341 Massachusetts Ave,"21 Harvard Yard
Cambridge, MA
(42.37461569800007, -71.11866560099998)",Nonresidential,College/University,1930,48532,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,383334.7,1307938.3,,,,,,,,,821352,1139934.1,,3269224.5,3210226.3,67.4,66.1,6299665.9,6238103.9,129.8,128.5,245.5,5.1,246.9,5.09
552-6,11-40,2015,Yes,Single,,43-57 Cambridge Pkwy,"55 Cambridge Pkwy
Cambridge, MA
(42.36607094800007, -71.07516366999994)",Nonresidential,Office,1985,283686,"55 Cambridge Parkway, LLC",,68,5555627.1,18955802,,,,,,,,,,,,18955802,18677079.8,66.8,65.8,59521218.3,58646030.5,209.8,206.7,1833.9,6.5,2904.4,10.24
591-15,43-65,2015,Yes,Single,,11 Cambridge Ctr,"145 Broadway
Cambridge, MA
(42.364856866000025, -71.08952324399996)",Nonresidential,Office,1984,79616,"Barrett, David, Edward H. Linde &","Mortimer B. Zuckerman,Trs. Of Eleven",83,8295589.2,28304553.8,,,,,,,,,,,,28304553.8,28304553.8,355.5,355.5,88876299.1,88876299.1,1116.3,1116.3,2738.3,34.4,3368.5,42.31
398-10,164-5,2015,Yes,Single,,70 JFK St,"1 Eliot St
Cambridge, MA
(42.37258716200006, -71.12169143199998)",Nonresidential,College/University,1986,28390,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,263320.2,898448.8,,,,,,,,,,694999.1,,1593447.9,1569612.3,56.1,55.3,3657241.7,3615174.3,128.8,127.3,133.1,4.7,409,
253-4,157-69,2015,Yes,Single,,1525-1587 Massachusetts Ave,"35 Oxford St
Cambridge, MA
(42.37924332800003, -71.11659402399994)",Residential,Residence Hall/Dormitory,1895,79432,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",99,162308.9,553798.2,6621.558932,662155.9,,,,,,,,1728172.2,,2944126.3,2911206.7,37.1,36.7,4513252.1,4473409.4,56.8,56.3,203.5,2.6,1588.7,20
687-1,69-165,2015,Yes,Single,,38 Sidney St,"38 Sidney St
Cambridge, MA
(42.36185637800003, -71.10081007399998)",Nonresidential,Other,1980,122000,Massachusetts Institute Of Technology,Office Of The Treasurer,,5627402.3,19200699.1,111482.00495,11148200.5,,,,,,,,,,30348899.6,30192431.1,248.8,247.5,71995805.8,71831513.9,590.1,588.8,2449.7,20.1,4463.9,
603-1,11-43,2015,No,Single,,10 Rogers St,"10 Rogers St
Cambridge, MA
(42.365731777000065, -71.07721384399997)",Residential,Multifamily Housing,1989,,10 Rogers St,"Scott Jaumot, Property Manager",,,,,,,,,,,,,,,,,,,,,,,,,,
46-3,267.3-28,2015,Yes,Parent,"46-3, 46-10, 46-9",89 Blanchard Rd,"87 Blanchard Rd
Cambridge, MA
(42.393814708000036, -71.15810027299995)",Residential,Multifamily Housing,1974,79000,"Di Giovanni, Vincent A.","Antonio Di Giovanni, Trs Of",,,,,,,,,,,,,,,,,,,,,,,,,,
241-6,144-1,2015,Yes,Single,,2 Oxford St,"11 Divinity Ave
Cambridge, MA
(42.37827525100005, -71.11445264599996)",Nonresidential,College/University,1959,145233,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,793456.2,2707272.9,19685.5249404,1968552.5,,,,,,,,,,4675825.4,4590548.8,32.2,31.6,10567817.1,10478276.6,72.8,72.1,366.5,2.5,277.8,1.91
661-2,71-46,2016,Yes,Single,,41 Albany St,"600 Main St
Cambridge, MA
(42.36285174400007, -71.09224223599995)",Nonresidential,Office,1950,54000,Massachusetts Institute Of Technology,Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
269-10,172-65,2015,No,Single,,50 Follen St,"50 Follen St
Cambridge, MA
(42.37814471200005, -71.12103674599996)",Residential,,,,Trustees of Puritan Arms Condos,,,,,,,,,,,,,,,,,,,,,,,,,,,
74-28,181-88,2015,Yes,Single,,2067 Massachusetts Ave,"2067 Massachusetts Ave
Cambridge, MA
(42.39142480300006, -71.12321745999998)",Nonresidential,Office,1897,110628,Henderson Carriage Limited Partnership,C/O H.J. Davis Development Trust,74,1852468.8,6320624.4,38384.00027,3838400,,,,,,,,,,10159024.5,10152331.2,75.9,75.9,23877080.8,23870052.9,178.5,178.4,815.4,6.1,3393.9,25.37
126-6,261-167,2015,Yes,Single,,38 Birch St,"445 Concord Ave
Cambridge, MA
(42.38619505300005, -71.13928783899996)",Nonresidential,Non-Refrigerated Warehouse,1950,65000,"Lyman, James M., Reinier Beeuwkes Jr.,","Austin Broadhurst, Trustees., Et-Al",71,106379.8,362967.9,21066.709018,2106670.9,,135516,,,,,,,,2605154.8,2526704.8,40.1,38.9,3488595,3390523.2,53.7,52.2,157.1,2.4,82,1.26
59-39,268A-32,2015,Yes,Child,"59-16, 59-27, 59-25, 59-22, 59-19, 59-42 ,59-40, 59-39, 59-38, 59-37, 59-36, 59-31, 59-28",324 Rindge Ave,"77 Jackson Cir
Cambridge, MA
(42.39198309300008, -71.13591245299995)",Residential,Multifamily Housing,1952,207765,Cambridge Housing Authority,,63,1111397.9,3792090,125225.0028,12522500.3,,,,,,,,,93191,16632557.9,16594658.7,80.1,79.9,25373755.5,25334596.6,122.1,121.9,1062.8,5.1,16211.8,68.57
245-62,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",676-694 Huron Ave,"17 Fresh Pond Pl
Cambridge, MA
(42.38006592000005, -71.15323723099993)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
468-3,8-76,2015,Yes,Single,,1 Canal Pk,"1 Canal Pk
Cambridge, MA
(42.36798375500007, -71.07469648799997)",Nonresidential,Office,1987,101129,"BP-One Canal Park,LLC.",C/O Bcsp Cambridge One Property LLC,81,1600988.1,5462572.2,31265.6441,3126564.4,,,,,,,,,,8589136.6,8483817.7,84.9,83.9,20435369.4,20225704.8,202.1,200,694.5,6.9,748.4,7.4
69-11,267.4-311,2015,Yes,Child,"69-9, 69-11",55 Wilson Rd,"36 Smith Pl
Cambridge, MA
(42.39090655500007, -71.15075964899995)",Nonresidential,Office,1970,63500,"Div Fresh Pond 40 Smith Place, LLC",,,1504747.8,5134200.1,39568.9985473,3956899.9,,,,,,,,,,9091100,9048303.6,143.2,142.5,20276133.3,20231197,319.3,318.6,706.9,11.1,240.1,3.78
549-18,27-86,2016,Yes,Single,,205 Bent St,"179 Bent St
Cambridge, MA
(42.36721666700004, -71.08269767999997)",Nonresidential,Data Center,1938,28100,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
288-14,217-18,2015,Yes,Child,"288-13, 280-4, 280-7, 288-2, 288-3, 288-8, 288-9, 288-10, 288-11, 288-12, 288-13, 288-14, 288-15",99 Brattle St,"89 Brattle St
Cambridge, MA
(42.37591057900005, -71.12432376099997)",Residential,College/University,1924,210512,Episcopal Divinity School,,,966800.9,3298724.9,58306.9965809,5830699.7,,,,,,,,,,9129424.6,9070319.9,43.4,43.1,16480231,16418171,78.3,78,628.8,3,2584.5,12.28
625-7,43-77,2015,Yes,Single,,7 Cambridge Ctr,"415 Main St
Cambridge, MA
(42.36263794900003, -71.08829832199996)",Nonresidential,Laboratory,2006,231028,"BP Seven Cambridge Center Llc,",C/O Boston Properties Limited,,11777003.8,40183142,564131.16991,56413117,,,,,,,,,,96596259,,418.1,,185408838.7,,802.5,,9611.8,41.6,12393.7,53.65
681-5,128-64,2016,No,Single,,339 River St,"340 River St
Cambridge, MA
(42.36200323500003, -71.11434192099995)",Nonresidential,,,,Acadia Cambridge Llc, ,,,,,,,,,,,,,,,,,,,,,,,,,,
668-13,52A-21,2015,Yes,Single,,33 Massachusetts Ave,"105-R Massachusetts Ave
Cambridge, MA
(42.393434712000044, -71.12577890299997)",Nonresidential,College/University,1965,183169,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,5276090.4,18002022.6,181.9999865,18200,,,,,,,19279573.8,37714866,,75014662.4,,409.5,,121197568.6,,661.7,,5262.8,28.7,1602.3,
595-4,122-184,2015,Yes,Child,"595-1, 595-4, 595-3, 595-2",Putnam Ave,"9 Putnam Gdns
Cambridge, MA
(42.36593907100007, -71.11177920199998)",Residential,Multifamily Housing,1954,126002,Cambridge Housing Authority,,34,619834,2114873.7,119783.9968,11978399.7,,,,,,,,,,14093273.4,13924535.1,111.8,110.5,19218023.1,19040847.8,152.5,151.1,840.8,6.7,8623.5,58.81
267-56,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",18 Cushing Court,"50-8 Lawn St
Cambridge, MA
(42.37789815200006, -71.15400816499994)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
252-16,172-60,2015,Yes,Single,,29 Garden St,"29 Garden St
Cambridge, MA
(42.37901769600006, -71.12415221799995)",Residential,Multifamily Housing,2004,116309,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",42,736381.9,2512535.5,59643.18139,5964318.1,,,,,,,,,,8476853.6,8386711.6,72.9,72.1,14151895.4,14000276.4,121.7,120.4,559.9,4.8,2711.7,23.31
106-7,203B-66,2015,Yes,Child,"106-6, 106-65, 106-5, 106-66, 106-67, 106-16, 106-68, 106-4, 106-69, 106-70, 106-14, 106-63, 106-7, 106-64",102 Sherman Street,"19 Walden Square Rd
Cambridge, MA
(42.38952265200004, -71.12998454899997)",Residential,Multifamily Housing,1974,156003,WSQ Limited Partnership,"C/O Winn Residential, Attn: Li Sosna",63,689338.9,2352024.7,180331.1118,18033111.2,,,,,,,,,,20385135.8,19805880,130.7,127,26320124.2,25711905.5,168.7,164.8,1345,8.6,12937.6,
96-1,266-34,2015,Yes,Single,,250R Fresh Pond Parkway,"250R Fresh Pond Parkway
Cambridge, MA
(42.38347591100006, -71.14241109899996)",Municipal,Parking,2004,8792,City Of Cambridge,,,142140.3,484982.9,11865.6406421,1186564.1,,,,,,,,,,1671547,1605655.4,190.1,182.6,2768738.6,2692641.7,314.9,306.3,109.9,12.5,,
241-61,144-1,2015,Yes,Single,,2 Oxford St,"50 Oxford St
Cambridge, MA
(42.37965858200005, -71.11647675299997)",Nonresidential,College/University,1902,36099,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,111165.7,379297.4,,,,,,,,,233688,940241.5,,1553226.9,1530078.4,43,42.4,2555830.9,2530658.7,70.8,70.1,111.4,3.1,374,2.07
355-4,168-13,2015,No,Single,,44 Brattle St,"44 Brattle St
Cambridge, MA
(42.373918486000036, -71.12150412499994)",Nonresidential,,,,"Gomatos, John T. &",Christine Gomatos,,,,,,,,,,,,,,,,,,,,,,,,,,
610-6,43A-21,2015,Yes,Single,,575 Technology Sq,"600 Technology Sq
Cambridge, MA
(42.363767772000074, -71.09319828599996)",Nonresidential,Office,2001,127224,"MIT Real Estate, LLC","C/O Are-Tech Sq, Llc/ MIT Real Estate",24,4166914.1,14217512.7,1375.032276,137503.2,,,,,,,,,,14355015.9,14252650,112.8,112,44787368.2,44466099.2,352,349.5,1382.8,10.9,2942.7,23.13
699-25,56-8,2015,Yes,Single,,120 Albany St,"138 Albany St
Cambridge, MA
(42.360282907000055, -71.09716894699994)",Nonresidential,College/University,1955,49933,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2028479.8,6921173.8,8630.0016,863000.2,,0,,,,,4693834.3,2118156,,14596164.2,,292.3,,29880698.9,,598.4,,1103.4,22.1,9481.6,
252-8,172-2,2015,Yes,Single,,16 Chauncy St,"16 Chauncy St
Cambridge, MA
(42.379582980000066, -71.12242373199996)",Residential,Multifamily Housing,1979,40000,Meridian Realty Group,Trustees of Condominium Assn.,100,32135,109644.6,330.0642075,33006.4,,,,,,,,,,142651,,3.6,,378940.8,,9.5,,12.4,0.3,12.6,0.31
387-18,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
453-3,116-12,2016,Yes,Parent,"453-3, 453-27, 453-4",1003 Massachusetts Ave,"2 Ellery St
Cambridge, MA
(42.369691096000054, -71.11173345599997)",Nonresidential,Mixed Use Property,1960,40000,"Simon, Richard & William C.Kaplan,Trs.",C/O Eastport Real Estate Services,,,,,,,,,,,,,,,,,,,,,,,,,,
409-7,1A-172,2015,Yes,Parent,"409-7, 460-2",8 Education St,"8 Education St
Cambridge, MA
(42.369685762000074, -71.07120935699999)",Nonresidential,Mixed Use Property,1997,559000,Efekta House Inc.,,,3603519.6,12295210.5,170998.005,17099800.5,,,,,,,,,,29395011,29321253.2,52.6,52.5,56561751.6,56399109.9,101.2,100.9,2097.8,3.8,88518.6,139.35
318-13,159-1,2015,Yes,Single,,1341 Massachusetts Ave,"18 Harvard Yard
Cambridge, MA
(42.37461358400003, -71.11866598999995)",Nonresidential,Worship Facility,1932,42845,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",12,257157.6,877421.8,,,,,,,,,383460.3,2258545.3,,3519427.4,3479577.2,82.1,81.2,5855687.7,5807746.3,136.7,135.6,255.1,6,108.2,
68-43,195-169,2015,No,Single,,120-124 Rindge Avenue,"45 Yerxa Rd
Cambridge, MA
(42.39169054400003, -71.12917799999997)",Residential,,,,Attn: Property Manager,The Wyeth,,,,,,,,,,,,,,,,,,,,,,,,,,
243-5,157-64,2015,Yes,Child,"243-3, 243-5",47 Oxford St,"38 Mellen St
Cambridge, MA
(42.38077588900006, -71.11851939999997)",Nonresidential,College/University,1970,90700,Lesley College,,,1556024.9,5309157.7,22549.999660000001,2255000,,,,,,,,,,7564157.5999999996,7474042.7000000002,83.4,82.4,19038505.100000001,18795903.899999999,209.9,207.2,633.4,7,3799.4,41.89
637-3,129-47,2015,Yes,Single,,24 Blackstone St,"46 Blackstone St
Cambridge, MA
(42.36428301900003, -71.11483727299998)",Nonresidential,Office,2002,21767,President & Fellows Of Harvard College,C/O General Counsel Holyoke Center Rm 98,87,132112.8,450768.8,,,,,,,,,,869554.5,,1320323.3,1304654.6,60.7,59.9,2461523.8,2435061,113.1,111.9,101.3,4.7,213.9,
606-1,43A-24,2015,Yes,Single,,555 Technology Sq,"800 Technology Sq
Cambridge, MA
(42.364221428000064, -71.09218638299996)",Nonresidential,Parking,1974,74065,"MIT Real Estate, LLC","C/O Are-Tech Sq, Llc/ MIT Real Estate",,577407.7,1970115.2,,,,,,,,,,,,1970115.2,1968422.2,33.2,33.2,6186161.7,6180845.8,104.4,104.3,190.6,3.2,1047.3,17.67
387-10,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
366-1,135-23,2015,Yes,Single,,383 Harvard Street,"383 Harvard St
Cambridge, MA
(42.37178672500005, -71.11316240099995)",Residential,Multifamily Housing,1960,38290,"Trustees Of Moskow, Abraham & Michael B. Moskow",,100,109628,374050.8,,,,,,,,,,,,374050.8,362718.3,9.8,9.5,1174519.4,1138935.3,30.7,29.7,36.2,0.9,2716.4,1.36
395-3,160-60,2015,Yes,Parent,"395-3, 395-5,  401-11, 401-10, 401-8",53 Bow St,"8 Linden St
Cambridge, MA
(42.37236483000004, -71.11731869399995)",Residential,Residence Hall/Dormitory,1760,204225,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,811266.9,2768043.1,36879.9995871,3688000,,,,,,,,9975001,,16431044.1,,80.5,,24564391.5,,120.3,,1126,5.5,5250.3,0.2
380-1,165-40,2015,Yes,Parent,"380-1, 380-2, 380-4, 380-5, 380-9",122 Mt Auburn St,"122 Mt Auburn St
Cambridge, MA
(42.373242477000076, -71.12268014899996)",Residential,Multifamily Housing,1920,35505,President & Fellows Of Harvard College,,71,242862,828645.1,16864.914308,1686491.4,,,,,,,,,,2515136.5,2488508.1,70.8,70.1,4372761.7,4331900.7,123.2,122,169.7,4.8,1628.9,45.88
387-17,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
437-12,161-58,2015,Yes,Child,"437-13, 437-12",962 Memorial Dr,"80 JFK St
Cambridge, MA
(42.37049340600004, -71.12182554799995)",Residential,Residence Hall/Dormitory,1931,215930,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1188653.6000000001,4055686.6,11722.000550000001,1172200.1000000001,,,,,,,,11052999.4,,16280886,,75.400000000000006,,27262878.300000001,,126.3,,1188.5,5.5,5745,
241-19,144-1,2015,Yes,Single,,2 Oxford St,"18 Hammond St
Cambridge, MA
(42.380782314000044, -71.11571142299994)",Nonresidential,College/University,1940,8056,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,14302.4,48799.9,,,,,,,,,,294296.8,,343096.7,342343.7,42.6,42.5,507282.9,506376.9,63,62.9,24.3,3,46.9,5.83
241-21a,144-1,2015,Yes,Single,,2 Oxford St,"52 Oxford St
Cambridge, MA
(42.37943612300006, -71.11650398599994)",Nonresidential,College/University,2005,73101,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,2699446.4,9210512.3,1.00000005,100,,,,,,,9314349.1,18636736.7,,37161598,36308202.4,508.4,496.7,60656117.7,59725849.6,829.8,817,2619.4,35.8,4430.6,60.61
460-3,1A-70,2016,No,Single,,15 Monsignor Obrien Hwy,"17 Monsignor OBrien Hwy
Cambridge, MA
(42.368959880000034, -71.07235791199997)",Nonresidential,,,,"Carye, Edward F. &","Barbara Jeannne Carye, Trs.",,,,,,,,,,,,,,,,,,,,,,,,,,
357-4,160-69,2016,Yes,Single,,1390 Massachusetts Ave,"1380 Massachusetts Ave
Cambridge, MA
(42.37341046200004, -71.11867368899993)",Nonresidential,Mixed Use Property,1890,39240,"1834 Realty, Inc.",C/O Cambridge Savings Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
206-9,213-2A,2015,Yes,Child,"206-10, 206-5, 206-4, 206-1, 206-9",52-70 Linnaean St,"124 Walker St
Cambridge, MA
(42.382289349000075, -71.12404498899997)",Residential,Residence Hall/Dormitory,1938,218516,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,959069.9,3272346.9,124555.009,12455500.9,,289800,4964,,,,,,,15727847.8,12254201.5,72,119.5,23353445.2,20481454.9,106.9,199.8,978.2,4.5,5457,10.96
319-13,169-94,2015,Yes,Single,,57 Brattle St,"6 Appian Way
Cambridge, MA
(42.375155118000066, -71.12191206199998)",Nonresidential,College/University,1972,88841,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1724557.4,5884190.6,50581.83495,5058183.5,,,,,,,,,,10942374.1,10891148.8,123.2,122.6,23787451.3,23733664.7,267.8,267.1,837.9,9.4,1733.2,19.51
206-5,213-2A,2015,Yes,Child,"206-10, 206-5, 206-4, 206-1, 206-9",52-70 Linnaean St,"60 Linnaean St
Cambridge, MA
(42.38246576600005, -71.12571401399998)",Residential,Residence Hall/Dormitory,1938,218516,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,959069.9,3272346.9,124555.009,12455500.9,,289800,4964,,,,,,,15727847.8,12254201.5,72,119.5,23353445.2,20481454.9,106.9,199.8,978.2,4.5,5457,10.96
245-54,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",676-694 Huron Ave,"26 Fresh Pond Pl
Cambridge, MA
(42.38017915300003, -71.15331501399999)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
694-4,95-73,2016,Yes,Single,,126-144 Brookline St,"130-B Brookline St
Cambridge, MA
(42.36043801200003, -71.10473674899998)",Nonresidential,Laboratory,2010,51484,"Mit 130 Brookline Llc,","C/O Mit, Treasure'S  Office",,,,,,,,,,,,,,,,,,,,,,,,,,
266-13,157-69,2015,Yes,Single,,1525-1587 Massachusetts Ave,"3 Kirkland St
Cambridge, MA
(42.376365762000034, -71.11547448899995)",Nonresidential,College/University,1914,63661,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,428007.9,1460363.2,30.25806285,3025.8,,,,,,,911798.3,1527532.1,,3902719.4,3841224.9,61.3,60.3,7338199.6,7271361.5,115.3,114.2,290.9,4.6,653.6,10.27
219-18,226-59,2016,Yes,Parent,"219-18, 219-20",80 Sparks St,"80 Sparks St
Cambridge, MA
(42.380729865000035, -71.13181676799996)",Nonresidential,K-12 School,1859,31615,Buckingham Browne And Nichols School, ,,,,,,,,,,,,,,,,,,,,,,,,,,
681-3,128-30,2015,Yes,Child,"681-2, 681-3",808 Memorial Dr,"816 Memorial Dr
Cambridge, MA
(42.361024187000055, -71.11588392199997)",Residential,Multifamily Housing,1969,283150,808 Memorial Drive Association,C/O Homeowner Rehab,42,2250345.7,7678180.6,121761.8283,12176182.8,,,,,,,,,,19854363.4,19831313.2,70.1,70,36894479.1,36870276.3,130.3,130.2,1389.6,4.9,10998.2,38.84
705-1,67-44,2015,Yes,Single,,24 Waverly St,"100 Sidney St
Cambridge, MA
(42.36006611800008, -71.10274136399994)",Nonresidential,College/University,2002,362687,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,3022839.3,10313929.1,121620.0075,12162000.8,,,,,,,,,,22475929.8,,62,,45155838.2,,124.5,,1643.8,4.5,12324.2,
461-9,18-47,2015,Yes,Child,"461-14, 461-9, 461-10, 461-11, 461-12, 461-13, 461-15",1 First St,"21 Otis St
Cambridge, MA
(42.37002676900005, -71.07759730499998)",Residential,Multifamily Housing,2004,291742,"First Street Venture, L.L.C.,","C/O Leggat Mccall Properties Llc,",100,362014,1235191.8,26050.743788,2605074.4,,,,,,,,,,3840266.2,3674026.9,13.2,12.6,6613830.4,6395825.7,22.7,21.9,257.9,0.9,8076.3,
438-11,161-85,2015,Yes,Child,"438-6, 438-8, 438-1, 438-7, 438-11",38 Mt Auburn St,"9 DeWolfe St
Cambridge, MA
(42.37037642900003, -71.11654944199995)",Residential,Residence Hall/Dormitory,1912,217621,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1636605.5,5584098.5,5083.00095,508300.1,,,,,,,,18067000,,24159398.5,,111,,39803127.8,,182.9,,1766.9,8.1,5784.7,
290-3,170-39,2015,Yes,Single,,16 Garden St,"16 Garden St
Cambridge, MA
(42.37734865200008, -71.12292491099998)",Nonresidential,Hotel,1927,134200,"Bergoulian, Mary A.,",Edward N.& Walter A. Guleserian  Trs.,50,1795968.7,6127846,106795.0009,10679500.1,,,,,,,,,,16807346,16794553.4,125.2,125.1,30454911.4,30441479.1,226.9,226.8,1160.1,8.6,6020.3,44.86
608-9,106-103,2016,No,Single,,576 Massachusetts Ave,"15 Pearl St
Cambridge, MA
(42.36432148200004, -71.10303158199997)",Nonresidential,,,,"Rothman, George & Ethel Rothman,",C/O First Cambridge Realty,,,,,,,,,,,,,,,,,,,,,,,,,,
681-2,128-30,2015,Yes,Parent,"681-2, 681-3",808 Memorial Dr,"812 Memorial Dr
Cambridge, MA
(42.360730268000054, -71.11583839299993)",Residential,Multifamily Housing,1969,283150,808 Memorial Drive Association,C/O Homeowner Rehab,42,2250345.7,7678180.6,121761.8283,12176182.8,,,,,,,,,,19854363.4,19831313.2,70.1,70,36894479.1,36870276.3,130.3,130.2,1389.6,4.9,10998.2,38.84
