Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommended Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Laundry,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Street Address
Toscana Apartment Homes,R413951,05/27/2011 12:00:00 AM,10.7%,15%,19,Complete,2001,Yes,Electric,358,7.98,02/26/2016 12:00:00 AM,"1355 N US
Austin, TX 78750
"
Broadstone Great Hills,439489,12/28/2010 12:00:00 AM,67%,15%,14,Complete,1998,No,Gas and Electric,256,6.69,02/26/2016 12:00:00 AM,"8701 Broadstone Cove
Austin, TX 78759
"
Riverlodge Apartments,439201,05/31/2012 12:00:00 AM,13.7%,15%,19,Needed,2000,Yes,Electric,499,6.78,02/26/2016 12:00:00 AM,"10301 FM
Austin, TX 78730
"
Hardrock Canyon,375767,04/07/2011 12:00:00 AM,72%,10%,17,Complete,1995,Yes,Gas and Electric,145,7.79,02/26/2016 12:00:00 AM,"10301 MORADO CIR
Austin, TX 78759
"
Windwood Apartments,308166,01/24/2011 12:00:00 AM,59%,15%,24,Needed,1985,Yes,Electric,32,14.56,02/26/2016 12:00:00 AM,"2810 Valley View Rd
Austin, TX 78704
"
Settler's Creek,306469,06/21/2011 12:00:00 AM,56%,10%,10,Needed,1987,No,Electric,75,11.98,02/26/2016 12:00:00 AM,"8001 Hwy
W Austin, TX 78736
"
Connection,290469,12/16/2010 12:00:00 AM,18%,10%,26,Needed,2000,No,Electric,192,13.23,02/26/2016 12:00:00 AM,"4404 E Oltorf
Austin, TX 78704
"
Forest Creek Village Apartments,289705,06/14/2011 12:00:00 AM,63%,10%,N\A,Needed,1969,Yes,Electric,166,8.37,02/26/2016 12:00:00 AM,"1401 St Edwards Dr
Austin, TX 78704
"
South Cliff Apartments,285896,02/17/2011 12:00:00 AM,22%,10%,N\A,Needed,1980,Yes,Electric,60,10.43,02/26/2016 12:00:00 AM,"2001 S Ih
Austin, TX 78704
"
The Brook in Travis Heights,284601,06/13/2011 12:00:00 AM,71%,10%,N\A,Needed,1972,Yes,Electric,175,8.65,02/26/2016 12:00:00 AM,"1824 S IH
Austin, TX 78741
"
Kenniston Apartments,232427,11/16/2010 12:00:00 AM,,N\A,13,Needed,1972,Yes,Electric,24,12.19,02/26/2016 12:00:00 AM,"400 Kensington Dr
Austin, TX 78752
"
Anderson Springs Apartments,230723,11/18/2010 12:00:00 AM,39%,10%,8,Needed,1974,Yes,Electric,145,9.87,02/26/2016 12:00:00 AM,"1901 RESEARCH BLVD
Austin, TX 78752
"
Capitol Village,225799,06/03/2011 12:00:00 AM,28%,15%,12,Complete,1969,Yes,Electric,250,10.73,02/26/2016 12:00:00 AM,"6855 Hwy
East Austin, TX 78723
"
Uptown Crossing Apartments,225470,04/24/2013 12:00:00 AM,13.6%,15%,19,Complete,1975,Yes,Electric,88,6.24,02/26/2016 12:00:00 AM,"909 Reinli
Austin, TX 78751
"
Lemon Tree Apartments,218081,02/09/2011 12:00:00 AM,17%,10%,11,Complete,1970,Yes,Gas and Electric,12,5.57,02/26/2016 12:00:00 AM,"4406 Avenue
C Austin, TX 78705
"
Retreat Apartments,217946,03/04/2011 12:00:00 AM,34%,10%,N\A,Needed,1972,Yes,Gas and Electric,24,7.55,02/26/2016 12:00:00 AM,"4400 Avenue
A Austin, TX 78705
"
Benjamin Todd Apartments,217507,02/01/2011 12:00:00 AM,75%,10%,N\A,Needed,1971,Yes,Electric,20,12.01,02/26/2016 12:00:00 AM,
Shoal Glen,217472,07/27/2011 12:00:00 AM,17%,15%,9,Needed,1973,Yes,Gas and Electric,18,7.94,02/26/2016 12:00:00 AM,"1605 W 39
Austin, TX 78756
"
Delwood Station,210721,05/24/2011 12:00:00 AM,47%,10%,N\A,Complete,1968,Yes,Gas and Electric,74,8.03,02/26/2016 12:00:00 AM,"1230 E 38th half St
Austin, TX 78722
"
3011 Whittis,210365,02/01/2011 12:00:00 AM,56%,10%,14,Complete,1962,Yes,Gas and Electric,20,11.09,02/26/2016 12:00:00 AM,"3011 Whittis
Austin, TX 78705
"
Blackstone Apartments,208863,10/04/2010 12:00:00 AM,22%,15%,N\A,Needed,1963,Yes,Gas and Electric,25,8.55,02/26/2016 12:00:00 AM,"2910 Medical
Arts Austin, TX 78705
"
University Quarters,208385,04/14/2011 12:00:00 AM,39%,10%,9,Needed,1977,Yes,Electric,30,12.18,02/26/2016 12:00:00 AM,"1973 HEMPHILL PARK
Austin, TX 78705
"
Comanche Apartments,206948,04/30/2011 12:00:00 AM,48%,15%,N\A,Needed,1967,Yes,Electric,11,10.05,02/26/2016 12:00:00 AM,"28000 Swisher St
Austin, TX 78705
"
River Oaks Apartments,206931,01/06/2011 12:00:00 AM,9.8%,10%,N\A,Complete,1962,Yes,Gas and Electric,66,8.32,02/26/2016 12:00:00 AM,"3001 Medical
Arts Austin, TX 78705
"
Madison At Walnut Creek,262009,04/14/2011 12:00:00 AM,50%,15%,21,Needed,1994,Yes,Gas and Electric,342,7.97,02/26/2016 12:00:00 AM,"12113 Metric Blvd
Austin, TX 78758
(30.403933, -97.698848)"
Casa Piedras Efficiancies,109124,10/20/2010 12:00:00 AM,65%,10%,12,Needed,1972,Yes,Gas and Electric,15,8.68,02/26/2016 12:00:00 AM,"1210 Lorrain
Austin, TX 78703
(30.279677, -97.755775)"
House 2500,204046,05/24/2011 12:00:00 AM,35%,15%,N\A,Complete,1963,Yes,Electric,26,10.51,02/26/2016 12:00:00 AM,"2500 E 22nd St
Austin, TX 78722
(30.283838, -97.715576)"
Willow Wood Apartment,310883,07/19/2011 12:00:00 AM,44%,15%,35,Complete,1984,No,Electric,24,9.72,02/26/2016 12:00:00 AM,"401 Woodward St
Austin, TX 78704
(30.227033, -97.754739)"
Wesson Oaks,228830,04/03/2010 12:00:00 AM,26.1%,10%,11,Needed,1984,Yes,Electric,8,15.03,02/26/2016 12:00:00 AM,"5626 WOODROW AVE
Austin, TX 78756
(30.328801, -97.732909)"
Guadalupe Court Apartments,230140,01/31/2011 12:00:00 AM,37%,15%,N\A,Needed,1974,Yes,Gas and Electric,7,11.02,02/26/2016 12:00:00 AM,"6607 Guadalupe St
Austin Austin, TX 78752
(30.33254, -97.717879)"
Chelsea On Lamar,228895,02/18/2011 12:00:00 AM,55%,10%,N\A,Complete,1972,Yes,Electric,70,7.85,02/26/2016 12:00:00 AM,"5606 N Lamar Blvd
Austin, TX 78751
(30.325227, -97.72681)"
Sandstone Apartments,205401,05/25/2011 12:00:00 AM,31%,10%,15,Needed,1985,Yes,Electric,49,11.42,02/26/2016 12:00:00 AM,"2408 Manor Rd
Austin, TX 78722
(30.284708, -97.716534)"
West Annie Apartments,303500,02/01/2013 12:00:00 AM,39.7%,10%,19,Needed,1974,Yes,Electric,30,11.75,02/26/2016 12:00:00 AM,"211 W Annie
Austin, TX 78704
(30.24662, -97.752755)"
Verde Apartments,287438,03/07/2011 12:00:00 AM,63%,10%,N\A,Complete,1974,Yes,Electric,192,8.43,02/26/2016 12:00:00 AM,"2310 Wickersham Ln
Austin, TX 78741
(30.228751, -97.721457)"
Dryfield Apartments,242745,05/16/2011 12:00:00 AM,29%,10%,19,Needed,1969,Yes,Gas and Electric,28,7.82,02/26/2016 12:00:00 AM,"8502 Dryfield Dr
Austin, TX 78758
(30.359302, -97.714857)"
ACP MEWS LP,203518,04/14/2011 12:00:00 AM,36%,10%,13,Needed,1984,No,Electric,10,12.29,02/26/2016 12:00:00 AM,"905 W 22nd
half Austin, TX 78705
(30.285407, -97.747353)"
Park Avenue Place,208476,01/01/2012 12:00:00 AM,73%,15%,20,Complete,1960,Yes,Gas and Electric,16,9.68,02/26/2016 12:00:00 AM,"306 E 30Th St
Austin, TX 78705
(30.292698, -97.735439)"
Waller Creek Apartments,221429,03/21/2011 12:00:00 AM,52%,10%,19,Complete,1954,Yes,Electric,8,11.29,02/26/2016 12:00:00 AM,"225 W North Loop
Austin, TX 78751
(30.318919, -97.724843)"
Cimarron Crossing,501427,03/15/2011 12:00:00 AM,14.3%,10%,24,Needed,1981,Yes,Electric,160,13.12,02/26/2016 12:00:00 AM,"9500 Jollyville Rd
Austin, TX 78759
(30.388504, -97.748124)"
Montecito Apartments,289941,10/05/2010 12:00:00 AM,12%,15%,14,Needed,1984,Yes,Electric,268,13.36,02/26/2016 12:00:00 AM,"3111 Parker Ln
Austin, TX 78741
(30.223535, -97.742231)"
Quail Park Village,252115,04/08/2011 12:00:00 AM,28%,10%,30,Complete,1976,No,Gas and Electric,48,2.38,02/26/2016 12:00:00 AM,"9844 QUAIL BLVD
Austin, TX 78758
(30.37182, -97.700847)"
Grooms Street Townhomes,211504,02/01/2011 12:00:00 AM,9%,10%,11,Complete,1967,No,Gas and Electric,5,6.94,02/26/2016 12:00:00 AM,"3401 Grooms St
Austin, TX 78705
(30.297779, -97.733423)"
Sleepy Hollow Apts,584369,04/29/2011 12:00:00 AM,,N\A,N\A,Needed,1967,Yes,Electric,20,11.78,02/26/2016 12:00:00 AM,"5909 Bolm Rd
Austin, TX 78721
(30.256123, -97.685826)"
Spruce House,203396,02/11/2013 12:00:00 AM,24%,15%,22,Needed,1925,No,Electric,9,5.66,02/26/2016 12:00:00 AM,"909 W 23 ST
Austin, TX 78705
(30.287365, -97.746981)"
Chez Moi Luxury Apartments,262633,06/01/2010 12:00:00 AM,47%,15%,30,Complete,1997,No,Gas and Electric,381,8.27,02/26/2016 12:00:00 AM,"12100 Metric Blvd
Austin, TX 78758
(30.403638, -97.699552)"
Avesta Solano Apartments,239687,05/31/2011 12:00:00 AM,14.5%,10%,10,Complete,1983,Yes,Electric,503,13.79,02/26/2016 12:00:00 AM,"8800 N Ih
Austin, TX 78753
(30.352639, -97.691962)"
Waterston Apartment,110161,04/30/2011 12:00:00 AM,18%,10%,30,Needed,1979,Yes,Electric,10,15.34,02/26/2016 12:00:00 AM,"1620 Waterston
Austin, TX 78703
(30.281304, -97.760064)"
Valley View,306561,03/18/2011 12:00:00 AM,27%,10%,21,Needed,1982,No,Electric,24,11.21,02/26/2016 12:00:00 AM,"6701 Silvermine Dr
Austin, TX 78736
(30.246025, -97.888717)"
Colonial Apartments,109073,04/12/2011 12:00:00 AM,34%,15%,12,Needed,1958,Yes,Gas and Electric,13,7.07,02/26/2016 12:00:00 AM,"1212 West 13th Street
Austin, TX 78703
(30.2794, -97.754808)"
Pennfield Court,313582,05/18/2011 12:00:00 AM,22%,10%,19,Needed,1982,No,Electric,28,14.65,02/26/2016 12:00:00 AM,"439 Woodward St
Austin, TX 78704
(30.227137, -97.754952)"
Brownstone Park Apartments,224869,10/06/2010 12:00:00 AM,75%,15%,9,Complete,1967,Yes,Gas and Electric,152,8.66,02/26/2016 12:00:00 AM,"5106 N Lamar Blvd
Austin, TX 78751
(30.318934, -97.730743)"
Bull Creek Apartments,227403,03/30/2011 12:00:00 AM,33%,10%,9,Needed,1965,Yes,Gas and Electric,24,7.36,02/26/2016 12:00:00 AM,"5001 Bull Creek Rd
Austin, TX 78731
(30.3268, -97.749619)"
Boardwalk At Leon,206218,05/23/2011 12:00:00 AM,6.3%,10%,N\A,Needed,1997,No,Gas and Electric,6,7.96,02/26/2016 12:00:00 AM,"2405 Leon St
Austin, TX 78705
(30.288816, -97.749275)"
The Mint Urban Red River,209003,05/23/2011 12:00:00 AM,70%,15%,N\A,Complete,1971,Yes,Gas and Electric,139,11.18,02/26/2016 12:00:00 AM,"3401 Red River St
Austin, TX 78705
(30.29304, -97.725625)"
,106609,03/29/2011 12:00:00 AM,28%,10%,N\A,Needed,1967,Yes,Gas and Electric,14,7.25,02/26/2016 12:00:00 AM,"801 W Lynn
Austin, TX 78703
(30.276884, -97.761347)"
Barton's Mill,303325,06/21/2011 12:00:00 AM,30%,15%,11,Needed,1987,Yes,Electric,134,12.35,02/26/2016 12:00:00 AM,"2121 Dickson Dr
Austin, TX 78704
(30.246194, -97.781146)"
The Gallery,306014,10/09/2010 12:00:00 AM,75%,10%,8,Complete,1977,No,Gas and Electric,114,10.52,02/26/2016 12:00:00 AM,"3622 Manchaca Rd
Austin, TX 78704
(30.237651, -97.783362)"
Villas De Sol Apartments,250292,02/14/2011 12:00:00 AM,62%,15%,12,Needed,1982,No,Electric,122,13.08,02/26/2016 12:00:00 AM,"1647 Rutland Dr
Austin, TX 78758
(30.373838, -97.712311)"
Marquis At Treetops,423980,05/13/2011 12:00:00 AM,20%,15%,23,Complete,1997,No,Electric,240,8.57,02/26/2016 12:00:00 AM,"5217 Old Spicewood Springs Rd
Austin, TX 78731
(30.383192, -97.766389)"
1910 Nueces,203777,03/21/2011 12:00:00 AM,25%,10%,N\A,Needed,1984,Yes,Electric,12,10.59,02/26/2016 12:00:00 AM,"1910 Nueces St
Austin, TX 78705
(30.283418, -97.744099)"
Le Marquee,214669,02/22/2011 12:00:00 AM,27%,10%,19,Needed,1968,Yes,Gas and Electric,48,9.67,02/26/2016 12:00:00 AM,"302 W 38th St
Austin, TX 78705
(30.30152, -97.735661)"
The Crossing Apartments,430697,03/03/2011 12:00:00 AM,20%,10%,38,Complete,1999,Yes,Electric,240,11.22,02/26/2016 12:00:00 AM,"9323 Manchaca Road
Austin, TX 78748
(30.179179, -97.820578)"
The Montage,208166,02/22/2011 12:00:00 AM,32%,10%,22,Needed,1967,Yes,Gas and Electric,14,6.43,02/26/2016 12:00:00 AM,"2812 Rio
Grande Austin, TX 78705
(30.294493, -97.744038)"
Highridge Townhomes,310125,09/17/2010 12:00:00 AM,9%,10%,11,Needed,1970,Yes,Gas and Electric,8,7.22,02/26/2016 12:00:00 AM,"3806 Southridge Dr
Austin, TX 78704
(30.231306, -97.777266)"
Imt Monterey Ranch,372092,05/24/2011 12:00:00 AM,32%,15%,20,Needed,1996,Yes,Electric,457,11.22,02/26/2016 12:00:00 AM,"4701 Staggerbrush Rd
Austin, TX 78749
(30.234099, -97.836774)"
Audubon Square Apartments,R056945,05/13/2011 12:00:00 AM,17%,10%,9,Complete,1984,Yes,Electric,164,13.72,02/26/2016 12:00:00 AM,"12425 Mellow Meadow
Austin, TX 78750
(30.458342, -97.7972)"
Manchaca Road Apartments,306017,01/31/2011 12:00:00 AM,17%,10%,13,Complete,1996,Yes,Electric,11,8.69,02/26/2016 12:00:00 AM,"3810 Manchaca Rd
Austin, TX 78704
(30.234915, -97.785066)"
Hemphill Park,208381,03/29/2011 12:00:00 AM,,N\A,N\A,Needed,1969,Yes,Electric,10,5.23,02/26/2016 12:00:00 AM,"2721 Hemphill Park
Austin, TX 78705
(30.293353, -97.741044)"
South Point Village Apartments,512613,10/06/2010 12:00:00 AM,10.3%,15%,30,Complete,1984,Yes,Electric,176,10.96,02/26/2016 12:00:00 AM,"6806 S IH
Austin, TX 78745
(30.188308, -97.77254)"
Westgate apartments,511943,05/31/2011 12:00:00 AM,19%,10%,26,Needed,1984,No,Electric,24,14.98,02/26/2016 12:00:00 AM,"6809 Westgate Blvd
Austin, TX 78745
(30.208034, -97.814794)"
Shoal Creek Arms,248606,01/17/2014 12:00:00 AM,60%,15%,38,Needed,1972,Yes,Gas and Electric,37,7.41,02/26/2016 12:00:00 AM,"8515 SHOAL CREEK BLVD
Austin, TX 78757
(30.370647, -97.737692)"
Bamboo Court,216520,10/31/2012 12:00:00 AM,42%,10%,N\A,Needed,1966,Yes,Gas and Electric,26,6.84,02/26/2016 12:00:00 AM,"4715 HARMON AVE
Austin, TX 78751
(30.306614, -97.714396)"
Nichols Park Apartment Homes,321630,12/15/2010 12:00:00 AM,22%,15%,17,Complete,1985,Yes,Electric,200,12.07,02/26/2016 12:00:00 AM,"5001 Convict Hill Rd
Austin, TX 78749
(30.217967, -97.852623)"
The Park At Crestview Apartments,"240376, 242656",03/29/2011 12:00:00 AM,25%,15%,9,Complete,1968,Yes,Electric,129,5.91,02/26/2016 12:00:00 AM,"8220 Research Blvd
Austin, TX 78758
(30.355113, -97.715396)"
Winflo Apartments,106797,04/29/2011 12:00:00 AM,44%,15%,N\A,Complete,1973,Yes,Electric,20,15.09,02/26/2016 12:00:00 AM,"808 Winflo
Austin, TX 78703
(30.275705, -97.757905)"
Country Club Creek Apartments,287440,12/18/2012 12:00:00 AM,7.6%,15%,30,Needed,1997,Yes,Electric,205,9.62,02/26/2016 12:00:00 AM,"4501 E Riverside Dr
Austin, TX 78741
(30.233125, -97.722661)"
Speedway,210189,04/30/2011 12:00:00 AM,,N\A,13,Needed,1958,Yes,Electric,6,7.74,02/26/2016 12:00:00 AM,"3201 Speedway
Austin, TX 78705
(30.29652, -97.736108)"
The Enclave,319611,05/24/2011 12:00:00 AM,5.6%,10%,30,Complete,1982,Yes,Electric,90,11.8,02/26/2016 12:00:00 AM,"1005 W Stassney Ln
Austin, TX 78745
(30.21009, -97.785997)"
2606 Salado Pl,208065,05/23/2011 12:00:00 AM,22%,10%,30,Needed,2000,No,Gas and Electric,5,8.93,02/26/2016 12:00:00 AM,"2606 Salado Pl
Austin, TX 78705
(30.291456, -97.745316)"
24 Flats,109020,01/07/2011 12:00:00 AM,13.9%,15%,30,Complete,1972,Yes,Electric,24,6.85,02/26/2016 12:00:00 AM,"1515 Palma Plaza
Austin, TX 78703
(30.281702, -97.757491)"
Woodridge Apartments,286043,05/26/2011 12:00:00 AM,65%,10%,19,Needed,1968,Yes,Gas and Electric,134,6.93,02/26/2016 12:00:00 AM,"1900 Burton
Austin, TX 78741
(30.23448, -97.730767)"
2612 Roger Ave,204018,11/26/2012 12:00:00 AM,35%,10%,N\A,Complete,1972,No,Gas and Electric,8,8.47,02/26/2016 12:00:00 AM,"2612 Roger Ave
Austin, TX 78722
(30.283072, -97.71397)"
Castle Arms Apartments,210233,04/13/2011 12:00:00 AM,57%,10%,N\A,Needed,1971,Yes,Gas and Electric,30,7.82,02/26/2016 12:00:00 AM,"3121 Speedway
Austin, TX 78705
(30.296142, -97.736344)"
Cityview Apartments,290240,05/11/2011 12:00:00 AM,40%,15%,13,Complete,2001,Yes,Gas and Electric,308,7.53,02/26/2016 12:00:00 AM,"4900 E Oltorf
Austin, TX 78741
(30.222848, -97.722146)"
BrookStone Apartments,285504,11/01/2012 12:00:00 AM,26%,10%,13,Needed,1985,No,Electric,36,9.29,02/26/2016 12:00:00 AM,"2305 TOWN LAKE CIR
Austin, TX 78741
(30.239689, -97.723882)"
Villas On Guadalupe,208335,12/21/2012 12:00:00 AM,35%,15%,11,Needed,2003,No,Electric,149,10.19,02/26/2016 12:00:00 AM,"2810 Hemphill Park
Austin, TX 78705
(30.294033, -97.740961)"
Coppermill Apartments,249170,07/08/2011 12:00:00 AM,19%,10%,9,Needed,1984,No,Electric,319,14.49,02/26/2016 12:00:00 AM,"10000 N Lamar
Austin, TX 78753
(30.368695, -97.693849)"
Shalimar Apartments,223222,12/06/2012 12:00:00 AM,21%,15%,11,Needed,1969,Yes,Electric,17,9.65,02/26/2016 12:00:00 AM,"701 W North Loop
Austin, TX 78751
(30.320762, -97.728729)"
Austin Gardens Village,235151,06/13/2013 12:00:00 AM,10.6%,15%,30,Complete,1973,Yes,Electric,150,7.91,02/26/2016 12:00:00 AM,"7401 N Lamar Blvd
Austin, TX 78752
(30.341037, -97.716836)"
,221923,02/01/2012 12:00:00 AM,,N\A,N\A,Needed,1966,No,Electric,8,9.6,02/26/2016 12:00:00 AM,"5505 HELEN ST
Austin, TX 78751
(30.316253, -97.711873)"
University Estates,445768,12/21/2010 12:00:00 AM,47%,10%,12,Complete,1996,No,Electric,314,12.03,02/26/2016 12:00:00 AM,"1300 Crossing Place
Austin, TX 78741
(30.236747, -97.714059)"
Spanish Palms,243473,11/08/2012 12:00:00 AM,67%,15%,N\A,Complete,1972,Yes,Electric,112,13.69,02/26/2016 12:00:00 AM,"1007 Rundberg
Austin, TX 78753
(30.35567, -97.683989)"
601 Deen Avenue Apartments,241811,03/25/2013 12:00:00 AM,,N\A,11,Needed,1972,No,Electric,10,10.56,02/26/2016 12:00:00 AM,"601 Deen Avenue
Austin, TX 78753
(30.355648, -97.700486)"
Sedona Springs,372192,04/04/2011 12:00:00 AM,36.6%,15%,15,Needed,1994,No,Electric,396,10.52,02/26/2016 12:00:00 AM,"4201 Monterey Oak Blvd
Austin, TX 78749
(30.228921, -97.833915)"
The Summit,206099,06/20/2011 12:00:00 AM,75%,15%,N\A,Needed,1963,Yes,Gas and Electric,14,6.81,02/26/2016 12:00:00 AM,"1008 W 25Th 1 2 Street
Austin, TX 78705
(30.29001, -97.748353)"
Mountain Ranch Apartments,286708,12/17/2012 12:00:00 AM,10.5%,15%,30,Needed,2000,Yes,Electric,196,7.86,02/26/2016 12:00:00 AM,"2425 E Riverside Dr
Austin, TX 78741
(30.23566, -97.724846)"
Boardwalk At Robbins,112558,05/23/2011 12:00:00 AM,11.5%,10%,N\A,Needed,2004,No,Gas and Electric,8,9.93,02/26/2016 12:00:00 AM,"1905 Robbins Pl
Austin, TX 78705
(30.284326, -97.749406)"
12th Street Apartments,198774,02/01/2011 12:00:00 AM,15%,10%,11,Complete,1996,Yes,Electric,11,8.34,02/26/2016 12:00:00 AM,"3005 E 12th St
Austin, TX 78702
(30.276438, -97.703091)"
AUSTIN PRESBYTERIAN,208474,05/25/2011 12:00:00 AM,19%,15%,17,Complete,1985,No,Electric,12,10.08,02/26/2016 12:00:00 AM,"402 E 30th
Austin, TX 78705
(30.292373, -97.735028)"
Autumn Chase Apartments,246225,05/18/2011 12:00:00 AM,39%,10%,11,Complete,1972,Yes,Gas and Electric,84,11.11,02/26/2016 12:00:00 AM,"8600 Research Blvd
Austin, TX 78758
(30.361815, -97.717278)"
Atrium Apartments,214663,10/31/2012 12:00:00 AM,,N\A,N\A,Needed,1973,Yes,Electric,12,10.63,02/26/2016 12:00:00 AM,"210 W 38TH ST
Austin, TX 78705
(30.301328, -97.735269)"
Alpine West Apartments,309741,01/28/2011 12:00:00 AM,59%,10%,4,Needed,1974,Yes,Gas and Electric,24,10.15,02/26/2016 12:00:00 AM,"412 Alpine Rd
Austin, TX 78704
(30.229769, -97.764798)"
Hancock Square,211832,05/05/2011 12:00:00 AM,21%,15%,35,Needed,1981,No,Electric,16,5.34,02/26/2016 12:00:00 AM,"924 E 40Th St
Austin, TX 78746
(30.297692, -97.720808)"
Oakhurst apts.,242624,03/07/2011 12:00:00 AM,26%,10%,12,Needed,1969,Yes,Gas and Electric,12,13.44,02/26/2016 12:00:00 AM,"8507 Kromer
Austin, TX 78757
(30.359984, -97.717829)"
Springdale Estates Apartments,525330,11/07/2012 12:00:00 AM,31%,10%,25,Complete,2004,No,Gas and Electric,43,10.51,02/26/2016 12:00:00 AM,"1050 Springdale Rd
Austin, TX 78721
(30.27065, -97.692274)"
The Willows,101836,01/06/2011 12:00:00 AM,10%,10%,30,Complete,1969,Yes,Gas and Electric,97,7.03,02/26/2016 12:00:00 AM,"600 S 1st
Austin, TX 78704
(30.257494, -97.750595)"
Kiestone Apartments,230669,12/31/2013 12:00:00 AM,6.8%,10%,30,Complete,1983,Yes,Electric,49,17.48,02/26/2016 12:00:00 AM,"1319 Mckie
Austin, TX 78752
(30.329415, -97.691013)"
Lantern Lane,203794,11/22/2012 12:00:00 AM,37%,10%,N\A,Needed,1982,No,Electric,14,10.1,02/26/2016 12:00:00 AM,"2008 SAN ANTONIO ST
Austin, TX 78705
(30.283499, -97.743047)"
Ridge At Barton Creek,104314,09/19/2011 12:00:00 AM,60%,10%,N\A,Complete,1973,Yes,Gas and Electric,230,7.54,02/26/2016 12:00:00 AM,"1300 Spyglass Dr
Austin, TX 78746
(30.261198, -97.786532)"
2703 Windswept West,509358,02/04/2011 12:00:00 AM,45%,10%,12,Complete,1971,No,Gas and Electric,6,10.21,02/26/2016 12:00:00 AM,"2703 Windswept Cove
Austin, TX 78745
(30.229585, -97.801526)"
Lakeview Apartments,285034,05/09/2011 12:00:00 AM,50%,10%,11,Needed,1972,Yes,Electric,218,8.6,02/26/2016 12:00:00 AM,"2401 S Lakeshore Blvd
Austin, TX 78741
(30.243505, -97.7199)"
Heritage at Hillcrest,220625,05/13/2011 12:00:00 AM,24%,10%,30,Complete,1992,Yes,Electric,84,7.71,02/26/2016 12:00:00 AM,"1201 BROADMOOR DR
Austin, TX 78723
(30.310652, -97.706126)"
Bannister Place Apartments,312816,05/29/2011 12:00:00 AM,29%,10%,2,Needed,1969,Yes,Gas and Electric,20,7.77,02/26/2016 12:00:00 AM,"1301 W Ben
White Austin, TX 78704
(30.227459, -97.780542)"
The Metropolis Apartments,286710,02/17/2011 12:00:00 AM,31%,15%,N\A,Needed,1973,Yes,Gas and Electric,306,9.01,02/26/2016 12:00:00 AM,"2200 S Pleasant Valley
Austin, TX 78741
(30.231297, -97.725432)"
Sausalito Apartments,221361,05/01/2011 12:00:00 AM,16%,10%,N\A,Needed,1972,Yes,Electric,40,10.89,02/26/2016 12:00:00 AM,"4605 Avenue
A Austin, TX 78751
(30.31289, -97.73045)"
Grand Oak Apartments,206884,06/04/2011 12:00:00 AM,75%,15%,24,Needed,1999,No,Gas and Electric,27,7.88,02/26/2016 12:00:00 AM,"2901 Swisher Street
Austin, TX 78705
(30.288251, -97.725961)"
Jefferson At Stonehollow,369490,05/25/2011 12:00:00 AM,51%,15%,30,Needed,1995,Yes,Electric,290,10.47,02/26/2016 12:00:00 AM,"11900 Stonehollow Dr
Austin, TX 78758
(30.401505, -97.704564)"
The Ridge at Barton Creek,103802,09/19/2011 12:00:00 AM,60%,10%,N\A,Complete,1973,Yes,Gas and Electric,165,5.26,02/26/2016 12:00:00 AM,"1302 SPYGLASS DR
Austin, TX 78746
(30.261193, -97.786533)"
Gaines Ranch,380512,02/28/2011 12:00:00 AM,61%,15%,26,Complete,1996,Yes,Gas and Electric,390,7.96,02/26/2016 12:00:00 AM,"4424 Gaines Ranch Loop
Austin, TX 78735
(30.242475, -97.816867)"
Harper'S Creek,285951,05/12/2011 12:00:00 AM,31%,10%,11,Complete,1981,Yes,Electric,268,8.87,02/26/2016 12:00:00 AM,"1730 E Oltorf
Austin, TX 78741
(30.232555, -97.737558)"
The Arrangement,287617,05/04/2011 12:00:00 AM,75%,15%,19,Complete,1972,Yes,Electric,370,5.88,02/26/2016 12:00:00 AM,"2101 Burton Dr
Austin, TX 78741
(30.232683, -97.732288)"
Pebble Creek Apartments I & Ii,240607,08/11/2011 12:00:00 AM,43%,15%,12,Needed,1979,Yes,Gas and Electric,352,10.81,02/26/2016 12:00:00 AM,"8805 N Plaza
Austin, TX 78753
(30.350274, -97.688139)"
Stoney Creek Apartments,315682,05/13/2011 12:00:00 AM,21%,15%,18,Needed,1982,Yes,Electric,132,14.08,02/26/2016 12:00:00 AM,"4911 Manchaca Rd
Austin, TX 78745
(30.222241, -97.793185)"
2200 Nueces,567166,04/06/2011 12:00:00 AM,,N\A,12,Needed,1981,Yes,Electric,12,10.16,02/26/2016 12:00:00 AM,"2200 Nueces
Austin, TX 78705
(30.285392, -97.743916)"
Westdale Parke Apartments Ph1 & Ph 2,136154,10/10/2011 12:00:00 AM,75%,15%,17,Complete,1976,Yes,Electric,248,10.51,02/26/2016 12:00:00 AM,"3543 Greystone Dr
Austin, TX 78731
(30.358235, -97.751876)"
Del Salado Apartments,208067,03/16/2011 12:00:00 AM,29%,10%,6,Needed,1966,No,Gas and Electric,14,7.3,02/26/2016 12:00:00 AM,"2612 Salado St
Austin, TX 78705
(30.291977, -97.745278)"
Turnbury Apartments,211804,05/01/2011 12:00:00 AM,43%,10%,11,Needed,1966,Yes,Gas and Electric,12,7.36,02/26/2016 12:00:00 AM,"4008 Red River
Austin, TX 78751
(30.299274, -97.722536)"
