Portfolio Manager ID,Property Name,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ft²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes,geom
3955734,FSU,19140,College/University,139460,2000,1,777528325,14860921.6,0,Not Available,33787072,Not Available,348.8,626.1,506.8,4873.4,,"3340 N BROAD ST
Philadelphia, Pennsylvania
(40.00379933000005, -75.15247668499995)"
4142231,Independence Charter School,19146,K-12 School,56000,1909,1,782671300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,"1600 Lombard Street
Philadelphia, Pennsylvania
(39.945067935000054, -75.16867804899994)"
1840857,One Liberty Place,19103,Office,1191592,1987,1,883031676,81967056,Not Available,Not Available,Not Available,65,69,216.2,12300.3,10400.2,,"1650 Market Street
Philadelphia, Pennsylvania
(39.952908989000036, -75.16815735199998)"
30234,311dn-Philadelphia - Airport,19153,Hotel,78490,1991,1,883743000,4364217.5,4723299.9,Not Available,Not Available,44,115.8,237.8,5673,803.4,,"8900 Bartram Avenue
Philadelphia, Pennsylvania
(39.88617280200003, -75.24914774299998)"
4139950,U-Haul Moving and Storage of South Philadelphia (1135),19147,Self-Storage Facility,70200,1907,1,884005160,961398.2,1049440.4,Not Available,Not Available,Not Available,28.6,58.7,98.5,184.4,,"1135 Washington Ave
Philadelphia, Pennsylvania
(39.937324912000065, -75.16212825399998)"
3681473,lowes 1848,19114,Retail Store,115928,2004,1,882241900,8026620.8,1681438.7,Not Available,Not Available,79,83.7,232.6,42.8,1105.7,,"9701 EAST ROOSEVELT BLVD.
Philadelphia, Pennsylvania
(40.08292901300007, -75.02622836899997)"
3597401,1211 Chestnut St.,19107,Office,100366,1919,1,883311500,4394737.9,Not Available,Not Available,2336115.2,75,67.1,165.5,628.3,763.4,,"1211 Chestnut St.
Philadelphia, Pennsylvania
(39.95048804600003, -75.16076648899997)"
3330939,Dobson,19143,K-12 School,52500,1930,1,784463600,685051.8,5088711.3,Not Available,Not Available,13,110,142.7,413,356.9,,"4667 UMBRIA
Philadelphia, Pennsylvania
(40.03141164500005, -75.23078835099994)"
3894669,2000 Market Street,19103,Office,661669,1972,1,883320500,40869959.6,2218341.9,Not Available,43945167.5,50,131.5,277.4,10173,9184.2,,"2000 Market Street
Philadelphia, Pennsylvania
(39.95360266300003, -75.17371352799995)"
3579262,164-JUNIPER STREET PARKING GARAGE,19103,Parking,56997,2007,1,883404500,900128.6,Not Available,Not Available,Not Available,Not Available,15.8,49.6,21.5,114,,"101-103 JUNIPER STREET
Philadelphia, Pennsylvania
(39.95063821400004, -75.16279802799994)"
1134770,PA0000BG - BYRNE GREEN COMPLEX,19106,Other,1834559,1970,1,781208400,57220389.8,48250280.7,3506718.1,Not Available,87,63.7,136.4,28055.9,10026.9,,"600 ARCH STREET
Philadelphia, Pennsylvania
(39.952751170000056, -75.15004769399997)"
3774260,615 Chestnut Street,19106,Office,383918,1981,1,883010310,22676878.8,1290298.9,Not Available,Not Available,77,62.4,189,7827.6,2940.2,,"615 Chestnut Street
Philadelphia, Pennsylvania
(39.94928465900006, -75.15106199099995)"
3766953,Church of God Non Sectarian,19139,Worship Facility,86052,1910,1,774182000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,"5101 Haverford Ave
Philadelphia, Pennsylvania
(39.96431436800003, -75.22204917699997)"
3634931,Orleans Technical Institute,19114,Vocational School,85378,2007,1,786462480,5300125.7,2027656.1,Not Available,Not Available,Not Available,85.8,219.9,288.2,778.8,,"2770 Red Lion Road
Philadelphia, Pennsylvania
(40.09141672100003, -75.01129825399994)"
3281349,House of Correction Complex,19136,Other,830754,1927,5,881449900,25248510,87401590.2,Not Available,Not Available,Not Available,135.6,205.9,39601.1,7836,,"8003 State Road
Philadelphia, Pennsylvania
(40.03132339600006, -75.02162096699993)"
3891456,Building 22,19112,Non-Refrigerated Warehouse,66092,1907,1,788008800,2161843.2,Not Available,Not Available,Not Available,1,32.7,102.7,Not Available,273.8,,"5101 South 17th Street
Philadelphia, Pennsylvania
(39.88838939000004, -75.18031065199995)"
4124173,"IKEA US EAST,LLC 215",19148,Retail Store,315000,2004,1,882241000,13808002.3,4701584.4,Not Available,Not Available,91,58.8,122.1,3049.3,1484,,"2206 South Columbus Blvd.
Philadelphia, Pennsylvania
(39.91924687300008, -75.14043277099995)"
3330806,South Philadelphia,19148,K-12 School,331440,1956,1,781022700,5344638.7,14566565.1,Not Available,Not Available,91,60.1,96.8,2796.4,1449.9,,"2101 SOUTH BROAD ST
Philadelphia, Pennsylvania
(39.984903247000034, -75.15646617399995)"
3698001,Northeast Water Pollution Control Plant,19137,Wastewater Treatment Plant,240000,1944,20,884463045,162661197.2,8811112.2,10309518,Not Available,93,757.4,2210.1,52190.1,21831.6,,"3899 Richmond St
Philadelphia, Pennsylvania
(39.99129964700006, -75.08517905199994)"
4112482,618-34 Market St,19106,Parking,116996,1969,8,883405500,2323981.4,1186020,Not Available,Not Available,Not Available,243,591.3,Not Available,357.2,,"618-34 Market Street
Philadelphia, Pennsylvania
(39.95075747200008, -75.15067841699994)"
3577011,2801 RED LION ROAD,19114,Non-Refrigerated Warehouse,180271,1969,1,884288600,1684114.4,5685137.8,Not Available,Not Available,75,40.9,62.4,327.5,515,,"2801 Red Lion Road
Philadelphia, Pennsylvania
(40.09125246700006, -75.01099800199995)"
3637888,ephs realty,19144,Non-Refrigerated Warehouse,79516,1988,1,884246680,890330,1556228.3,Not Available,Not Available,77,30.8,55.7,277.1,195.3,,"5704 musgrave st
Philadelphia, Pennsylvania
(40.04357513200006, -75.16797516399998)"
3893260,La Salle #1 (Resid Halls),19144,Residence Hall/Dormitory,117005,1953,7,776516000,2456062,8717426.8,2843462.4,Not Available,Not Available,119.8,168.7,6052.9,984.7,,"2006-2050 W. Olney Ave
Philadelphia, Pennsylvania
(40.03960886500005, -75.15464576299996)"
3964499,Chapel Manor,19115,Other,54819,1973,1,881435400,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"1104 Welsh Road
Philadelphia, Pennsylvania
(40.09117007200007, -75.04710448899993)"
3912172,New Covenant Church of Philadelphia,19119,Other,331000,1893,13,775165500,5318414.1,215750319.4,Not Available,Not Available,Not Available,667.9,734.9,3504.4,12123.8,,"7500 Germantown Ave
Philadelphia, Pennsylvania
(40.06484510200005, -75.19504341599998)"
3635179,7th Heaven Investments,19135,Non-Refrigerated Warehouse,60000,1940,1,884249500,311110.3,Not Available,Not Available,Not Available,99,5.2,16.3,Not Available,39.4,,"4219 Van Kirk St.
Philadelphia, Pennsylvania
(40.02109065700006, -75.06595674199997)"
3694560,Please Touch Museum at Memorial Hall,19131,Museum,156000,1876,1,0,11701860,5924466.8,Not Available,Not Available,Not Available,113,275.4,2918.2,1796.3,,"4231 Avenue of the Republic
Philadelphia, Pennsylvania
(39.978586807000056, -75.20944806299997)"
3330844,Washington ES,19147,K-12 School,68000,1937,1,781486600,897229.4,4513813.8,Not Available,Not Available,56,79.6,111.1,685.7,353.2,,"1198 S 5TH ST
Philadelphia, Pennsylvania
(39.933504706000065, -75.15266317599998)"
1650661,Four Penn Center,19103,Office,543134,1964,1,883056000,27934944.8,Not Available,Not Available,18699208,76,85.9,202.9,5693.9,9876.2,,"1600 JFK Blvd
Philadelphia, Pennsylvania
(39.953803160000064, -75.16681366399996)"
3983809,Alter Hall,19122,College/University,217526,2000,1,777509000,7525391.2,Not Available,Not Available,8220690.2,Not Available,113.5,195.2,2191,2152.3,,"1801 Liacouras Walk
Philadelphia, Pennsylvania
(39.98016275900005, -75.15620575799994)"
3975948,"fmi direct mail advertising, inc",19116,Mailing Center/Post Office,60000,2000,1,884233850,1735322.4,1520962.1,Not Available,Not Available,Not Available,54.3,117.4,216.5,300.5,,"2100 Kubach Road
Philadelphia, Pennsylvania
(40.11481235900004, -74.99802620199995)"
3479994,3711 Market St.,19104,Office,155715,2008,1,Many,31815535.2,Not Available,Not Available,Not Available,1,204.3,641.6,5014.8,4029,,"3711 Market St
Philadelphia, Pennsylvania
(39.956485024000074, -75.19635131699994)"
3330858,Kenderton,19140,K-12 School,91008,1962,1,785657200,1568447.6,168173.3,2845855.7,Not Available,76,50.4,87.6,575.3,418.7,,"1500 W ONTARIO ST
Philadelphia, Pennsylvania
(40.00487782600004, -75.15399789099996)"
4113001,2030 E.BYBERRY ROAD LLC,19116,Distribution Center,74225,1980,1,884235000,1229678.3,1868632.7,Not Available,Not Available,16,41.7,78.5,256.6,254.9,,"2030 BYBERRY RD
Philadelphia, Pennsylvania
(40.110287640000024, -75.00329104699995)"
3881229,Salvation Army Divisional Headquarters,19123,Other,97500,1970,3,771065001,6702642,2204807.7,Not Available,Not Available,Not Available,91.4,239.6,1758.9,965.8,,"701 North Broad Street
Philadelphia, Pennsylvania
(39.942582240000036, -75.16569710299996)"
3884289,Young Smyth Field Condominium Association,19107,Office,125000,1902,0,Many,5211543.4,Not Available,Not Available,2215530,78,59.4,152.2,1731.2,856.1,,"1216 Arch Street
Philadelphia, Pennsylvania
(39.95403361700005, -75.16027331299995)"
3498313,Gallery II,19107,Enclosed Mall,339551,1984,1,882508100,43632212.4,1429200.3,Not Available,Not Available,Not Available,132.7,407.9,12564,5601.4,,"1025 Market Street
Philadelphia, Pennsylvania
(39.951624268000046, -75.15714229499997)"
3824196,Andorra Shopping Center,19128,Retail Store,80200,1953,1,882116500,3392181.4,120058,Not Available,Not Available,75,43.8,134.4,346.6,436,,"701 E Cathedral Rd &quot;Henry Avenue &amp; Cathedral Road&quot;
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3689468,700 Duncan Building,19106,Parking,184383,1979,6,883102000,9945628.6,Not Available,Not Available,Not Available,Not Available,120.3,377.8,4571.9,1259.5,,"700 Duncan Building
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3774178,Hampton Inn PHLAT,19153,Hotel,79660,1997,1,883744400,3306630.6,2000501.4,Not Available,Not Available,85,66.6,156.7,5209.4,524.9,,"8660 Bartram Ave
Philadelphia, Pennsylvania
(39.88830976700007, -75.24722795499997)"
3788593,ST. ANSELM ANNEX,19154,Office,10764,1970,1,778144000,175183.3,756319.2,Not Available,Not Available,70,86.5,124.9,35.2,62.3,,"12700 DUNKS FERRY RD.
Philadelphia, Pennsylvania
(40.102350311000066, -74.97091261399999)"
3762530,"7,7A-Bossone / Commonwealth",19104,College/University,176360,2004,2,774526000,13750308.8,11788712.1,Not Available,6388458.4,Not Available,181,358.6,4926.2,2932.6,,"3118-38 Market Street
Philadelphia, Pennsylvania
(39.95515745900008, -75.18603814099998)"
3493360,Allen Ethel,19132,K-12 School,83197,1971,1,784224400,2958374.3,4129072.4,Not Available,Not Available,16,85.2,163.8,1208.1,593.7,,"3200 WEST LEHIGH AVE
Philadelphia, Pennsylvania
(39.99767028700006, -75.18351802999996)"
3955737,DENTAL SCHOOL (ORIG),19140,College/University,203374,2000,1,777527000,15603441.1,824,Not Available,14838256.2,Not Available,149.7,328.7,13997.9,3289.7,,"3223 N BROAD ST
Philadelphia, Pennsylvania
(39.90971340100003, -75.17247597699998)"
3080640,Rittenhouse Claridge,19103,Multifamily Housing,447813,1951,0,881027000,11776408.8,20772514.4,Not Available,Not Available,Not Available,75.9,137.1,17085.9,2593.7,,"201 S. 18th St.
Philadelphia, Pennsylvania
(39.95005746600003, -75.17064237899996)"
3619999,Fresh Grocer,19138,Supermarket/Grocery Store,50000,2009,1,122226915,8706953.1,6541607.4,Not Available,Not Available,27,305,684.2,1988.4,1449.8,,"5301 Chew Avenue
Philadelphia, Pennsylvania
(40.041798656000026, -75.15875583699994)"
3667832,Orthodox Facility,19124,Manufacturing/Industrial Plant,114000,1960,0,884091500,23380586.7,25804021.8,Not Available,Not Available,Not Available,431.4,881.7,429.8,4330.3,,"1100 Orthodox Street
Philadelphia, Pennsylvania
(40.01819497300005, -75.09195452399996)"
3938855,1518 Walnut Street,19102,Office,103560,1929,1,883334010,4143532.8,3851.1,Not Available,5066429.4,77,89,184.5,1207.9,973.5,,"1518 Walnut Street
Philadelphia, Pennsylvania
(39.949642159000064, -75.16689789399999)"
3679279,SugarHouse Casino,19125,Other,108420,2010,1,882028200,45546651.5,4917324.6,Not Available,Not Available,Not Available,465.4,1366.7,6590.6,6028.9,,"1001 North Delaware Ave
Philadelphia, Pennsylvania
(39.964582764000056, -75.13423332499997)"
3790440,T02182 - 4020 S. 26th Street,19145,Distribution Center,52315,2011,0,788003015,2829864.3,10005.9,Not Available,Not Available,54,54.3,170.1,163.1,358.9,"Single tenant flex building used for office, media creation, retail sales, and customer support associated with motorcycle apparel, parts, and accessories.  Occupant controls energy consumption.","4020 S. 26th Street
Philadelphia, Pennsylvania
(39.90153792500007, -75.19381696799996)"
3330869,Gideon,19121,K-12 School,67000,1952,1,784168800,895776.6,410735.4,3355132.4,Not Available,73,69.6,99,1051.5,384.2,,"2817 W GLENWOOD AVE
Philadelphia, Pennsylvania
(39.984302925000065, -75.18028510399995)"
3681476,lowes 1849,19148,Retail Store,115928,2004,1,882241100,10524133.2,990809.1,Not Available,Not Available,59,99.3,294,645.2,1385.3,,"2106 S CHRISTOPHER COLUMBUS BLVD
Philadelphia, Pennsylvania
(39.920601118000036, -75.14131983499993)"
3916312,"115-21 S BROAD ST ""North American Building""",19107,Office,154000,1900,1,883024500,11491844.6,Not Available,Not Available,Not Available,46,74.6,234.3,193.7,1455.3,,"121 South Broad Street
Philadelphia, Pennsylvania
(39.950263351000046, -75.16401592399995)"
3881814,Chestnut Hill,19118,K-12 School,220000,1900,1,775535510,12679,3142599.9,847996,Not Available,100,18.2,19.1,30.9,231.3,,"500 West Willow Grove Ave.
Philadelphia, Pennsylvania
(40.062951740000074, -75.20856038799997)"
3330964,Sullivan,19124,K-12 School,65000,1929,1,786112400,1022937,151255,4542284.5,Not Available,64,87.9,122.4,699.4,474.6,,"5300 DITMAN ST
Philadelphia, Pennsylvania
(40.01504809100004, -75.06783611299994)"
3597393,6900 Lindbergh Blvd.,19142,Distribution Center,224684,1975,1,884161700,2563839.2,5279793.8,Not Available,Not Available,77,34.9,60.5,430.7,604.9,,"6900 Lindbergh Blvd.
Philadelphia, Pennsylvania
(39.911936153000056, -75.22912445599997)"
3874380,Fairview Care Center,19118,Senior Care Community,69888,1930,1,881435900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"184 bethlehem pike
Philadelphia, Pennsylvania
(40.08377942200008, -75.20953285899998)"
3575688,123 S. Broad,19109,Office,1094000,1928,2,883025600,53544106.6,47554939.3,Not Available,Not Available,Not Available,92.4,199.3,24146,9304.5,,"123 S. Broad St.
Philadelphia, Pennsylvania
(39.949972976000026, -75.16407584299998)"
3892828,215-251 West Erie Ave.,19140,Non-Refrigerated Warehouse,95928,1950,1,884040500,779455,28920,Not Available,Not Available,73,8.4,25.8,17.2,100.2,,"215-251 West Erie Ave.
Philadelphia, Pennsylvania
(40.00686342700004, -75.13236660099994)"
3589771,Fairhill,19133,K-12 School,67000,1968,1,785556400,2171533.3,Not Available,1200600,Not Available,85,54.4,124.2,774,378.6,,"601 W SOMERSET ST
Philadelphia, Pennsylvania
(39.993973277000066, -75.14196656499996)"
3643298,Bluemle Life Science Building,19107-5541,Laboratory,287286,1991,1,771015010,56115799.2,16962,Not Available,43973825.1,Not Available,348.5,797.5,8550.2,11000.6,,"951 Locust Street
Philadelphia, Pennsylvania
(39.947323494000045, -75.15726881699999)"
3330811,Vare EH,19139,K-12 School,123019,1980,1,782808000,1750297.7,333522.9,8427097.9,Not Available,61,85.4,116.7,623,864.8,,"2101 S 24TH ST
Philadelphia, Pennsylvania
(39.92640101600006, -75.18602048799994)"
1182097,1192-Nortech,19116,Other,124190,1990,1,883033800,58645967.8,Not Available,Not Available,Not Available,Not Available,472.2,1482.8,2461.6,7426.8,,"2000 Kubach Rd.
Philadelphia, Pennsylvania
(40.113611699000046, -74.99661380599997)"
3993418,549,19124,Self-Storage Facility,99236,2004,1,884119600,165372.8,337595.2,Not Available,Not Available,Not Available,5.1,8.8,17.9,38.8,,"777 Mayfair Street
Philadelphia, Pennsylvania
(40.03026648600007, -75.10583923399997)"
3644128,Building 611,19112,Non-Refrigerated Warehouse,215827,1942,1,788044100,305121.5,Not Available,Not Available,Not Available,Not Available,1.4,4.4,Not Available,38.6,,"1120 Flagship Drive
Philadelphia, Pennsylvania
(39.88904509200006, -75.17144180999998)"
3751820,Most Blessed Sacrement Parish,19143,K-12 School,94000,1905,6,773071000,1606490.7,4108229.7,Not Available,Not Available,17,60.8,99.6,Not Available,421.4,,"5600 Chester Avenue
Philadelphia, Pennsylvania
(39.937662267000064, -75.22571168699994)"
1060565,1601 Market,19103,Office,781516,1968,1,883338000,41693752.9,Not Available,Not Available,11412611.6,91,68,185.1,13752.2,6290.4,,"1601 Market Street
Philadelphia, Pennsylvania
(39.952828330000045, -75.16700724799995)"
1489392,St. Leonard's Court,19104,Office,52306,1985,1,773080200,2817304.4,569206.6,Not Available,Not Available,63,64.7,180.6,213.1,387,,"3819 Chestnut Street
Philadelphia, Pennsylvania
(39.95521888300004, -75.19861276799998)"
3330797,Morton,19142,K-12 School,87000,1972,1,783130400,1943904.1,3864432,Not Available,Not Available,44,66.8,116.8,1968.4,451.3,,"2501 S 63rd St
Philadelphia, Pennsylvania
(39.92398609300005, -75.22764007299998)"
3892823,"Michel's Bakery, Inc.",19120,Manufacturing/Industrial Plant,100000,1950,1,884117500,8905429.2,28576598.8,Not Available,Not Available,Not Available,374.8,579.7,7566.9,2644.4,,"5698 Rising Sun Avenue
Philadelphia, Pennsylvania
(40.04015631200008, -75.10855429599997)"
3857948,Bourse Garage,19106,Parking,192322,1989,1,883409600,1665064.5,Not Available,Not Available,Not Available,Not Available,83.3,261.4,657.3,210.9,,"400 Ranstead St.
Philadelphia, Pennsylvania
(39.949391354000056, -75.14758128099999)"
3330876,Stetson,19134,K-12 School,140000,1917,1,786010400,4437746.1,7752.9,6419197.4,Not Available,11,77.6,145.9,4473.9,1038.8,,"3200 B ST
Philadelphia, Pennsylvania
(39.998145700000066, -75.12537690099998)"
3975541,"The Mathematics, Civics and Sciences Charter School of Philadelphia, Inc.",19123,K-12 School,59300,1925,1,771635100,751489.9,Not Available,Not Available,Not Available,100,12.7,39.8,673.6,95.2,,"447 N. Broad St.
Philadelphia, Pennsylvania
(39.96124062400003, -75.16164430899994)"
3878427,Serous Hasani,19153,Non-Refrigerated Warehouse,164173,1980,1,884165000,2417546.7,2292542,Not Available,Not Available,79,28.7,60.9,3.7,427.9,,"7575 Brewster Ave
Philadelphia, Pennsylvania
(39.90248651500008, -75.23250097699997)"
3762582,81-3201 Arch Street,19104,College/University,72479,1920,1,774513500,3557832.3,688517,Not Available,Not Available,Not Available,58.6,164.1,1031.6,487.1,,"3201-21 Arch Street
Philadelphia, Pennsylvania
(39.957493130000046, -75.18797987299996)"
3340008,3701 Market St.,19104,Medical Office,140913,2000,1,883073300,33874626,0,Not Available,Not Available,1,240.4,754.8,4883.5,4289.8,,"3701 Market St.
Philadelphia, Pennsylvania
(39.95646436100003, -75.19620591599994)"
3773538,Tacony Academy Charter School,19111,K-12 School,52500,1978,1,778506501,3780.8,2171357.3,Not Available,Not Available,100,41.4,43.7,714.2,115.7,,"1330 Rhawn Street
Philadelphia, Pennsylvania
(40.06839528200004, -75.06682556199996)"
3891494,Pier 78 South,19148,Non-Refrigerated Warehouse,362000,1930,1,884463820,3113450,Not Available,Not Available,Not Available,Not Available,8.6,27,337.2,394.3,,"1989 S. Columbus Blvd
Philadelphia, Pennsylvania
(39.92231839800007, -75.14215566399997)"
3892824,1196 Adams Ave,19124,Non-Refrigerated Warehouse,68632,1850,1,884641200,264275.1,109070.8,Not Available,Not Available,90,5.4,13.8,317.3,39.3,,"1196 Adams Ave
Philadelphia, Pennsylvania
(40.01515871000004, -75.09356310899994)"
3971641,6000 Woodland Partners LP,19142,Other - Mall,97029,1972,3,882052200,402253.3,Not Available,Not Available,Not Available,Not Available,4.1,13,5005.2,50.9,,"6000 Woodland Avenue
Philadelphia, Pennsylvania
(39.93025628200007, -75.22763225099999)"
3950687,Gimme Shelter LLC,19124,Other,51829,1920,1,884639700,5829644.3,Not Available,Not Available,Not Available,Not Available,112.5,353.2,0,738.2,,"2127 Gillingham St
Philadelphia, Pennsylvania
(40.00931318500005, -75.08011828499997)"
3963980,SHARE Community Food Resource Center,19129,Distribution Center,133550,1929,1,884129000,1524644.7,317382.9,Not Available,Not Available,92,13.8,38.3,654.7,209.9,,"2901 W Hunting Park Ave
Philadelphia, Pennsylvania
(40.00600613600005, -75.17689382599997)"
3682801,Wolf Investments Corp. #3,19136,Other,143000,1963,1,884259500,1988652.1,1668364.6,Not Available,Not Available,Not Available,25.6,55.9,1665.5,340.3,,"8301 Torresdale Ave.
Philadelphia, Pennsylvania
(40.039075472000036, -75.01780749399995)"
3338613,Beeber,19131,K-12 School,139000,1933,1,783288200,1378935.6,477031.7,10911338,Not Available,7,91.9,114,1046.1,1009.6,,"5925 MALVERN AVE
Philadelphia, Pennsylvania
(39.986029486000064, -75.24193493599995)"
3892818,4309 G Street,19124,Non-Refrigerated Warehouse,71509,1950,1,884114510,1417818,0,Not Available,Not Available,64,19.8,62.3,807,179.5,,"4309 G Street
Philadelphia, Pennsylvania
(40.01424264600007, -75.11166660899994)"
4067659,Main Warehouse,19154,Distribution Center,56947,1985,1,884292540,390605.8,1169041.5,Not Available,Not Available,86,27.4,43.1,62.1,111.5,,"12300 McNulty Road
Philadelphia, Pennsylvania
(40.10714616000007, -74.97790697999994)"
3682799,Building 990,19112,Distribution Center,70118,1969,1,788007016,2139733.4,2370820.3,Not Available,Not Available,65,64.3,131.3,197.8,396.8,,"2001 Kitty Hawk Avenue
Philadelphia, Pennsylvania
(39.88940325500005, -75.18622745899995)"
3966677,Pep Boys,19132,Office,509500,1928,1,884130000,17410780.9,14682661.5,Not Available,Not Available,90,63.2,138.1,1878.8,2984.1,,"3111 West Allegheny Avenue
Philadelphia, Pennsylvania
(40.00525830500004, -75.18089685299998)"
3707280,Downtown Philadelphia Marriott,19107,Hotel,1299546,1993,1,883704500,64140584.4,7790389.4,Not Available,Not Available,59,55.6,162,531.9,8536.1,,"1201 Market St
Philadelphia, Pennsylvania
(39.95207819500007, -75.16065702299994)"
4129577,Mariana Braceti Academy Charter School,19124,K-12 School,141785,1928,1,777210000,2642689.5,765205.4,Not Available,Not Available,96,24,64.2,0,375.3,,"3900 Jasper St
Philadelphia, Pennsylvania
(40.004732045000026, -75.09579047799997)"
4102725,2100 Byberry Road,19116,Non-Refrigerated Warehouse,130500,1954,1,884236000,1291361.5,1080304,Not Available,Not Available,90,18.2,39.8,148.7,220.8,,"2100 Byberry Road
Philadelphia, Pennsylvania
(40.10913766300007, -75.00200049199998)"
3955736,KORNBERG DENTISTRY,19140,College/University,133302,1980,1,777526000,11267741,Not Available,Not Available,9892170.9,Not Available,158.7,354.7,9177.4,2302.8,,"3201 N BROAD ST
Philadelphia, Pennsylvania
(40.00190401200007, -75.15282611499998)"
3330812,Vaux,19121,K-12 School,182000,1937,1,782322400,3117300.4,367762.5,6374220,Not Available,79,54.2,91.3,589.9,887.3,,"2300 MASTER ST
Philadelphia, Pennsylvania
(39.97639364500003, -75.17374463899995)"
2902083,Constitution Place,19106,Office,232097,1955,0,883302500,12085795.3,6593377.3,Not Available,Not Available,73,80.5,193.3,7644.4,1880.4,,"325 Chestnut St.
Philadelphia, Pennsylvania
(39.94879764800004, -75.14708659999997)"
3669913,United Artists Movie Theater,19147,Movie Theater,77700,1992,1,882055250,5751297.9,715258.2,Not Available,Not Available,Not Available,83.2,242.1,3586.9,766.3,,"1400 S Christopher Columbus Blvd
Philadelphia, Pennsylvania
(39.92979772600006, -75.14450249899994)"
3569731,1300 W. LEHIGH AVENUE,19132,Office,60000,1964,2,882962800,446011.9,169283.6,Not Available,Not Available,Not Available,10.3,26.3,308.1,65.5,,"1300 W. LEHIGH AVENUE
Philadelphia, Pennsylvania
(39.993662253000025, -75.15250133299998)"
3891499,Pier 78 South Annex,19148,Non-Refrigerated Warehouse,208000,1996,1,884463830,962527.9,Not Available,Not Available,Not Available,93,4.6,14.5,36.4,121.9,,"2001 S. Columbus Blvd
Philadelphia, Pennsylvania
(39.92207520300008, -75.14200071599998)"
3633517,United Refrigeration Inc. Headquarters,19154,Distribution Center,121508,1960,0,884267500,9086667.8,2403464.1,Not Available,Not Available,10,94.6,255.6,1046,1278.3,,"11401 Roosevelt Blvd.
Philadelphia, Pennsylvania
(40.098216336000064, -75.01057462099999)"
3956656,MITTEN,19122,College/University,112771,2000,1,777512010,6068027,717451.2,Not Available,13422948,Not Available,213.6,353.3,9457.4,2199.7,,"1913 N. BROAD
Philadelphia, Pennsylvania
(39.98191063500008, -75.15709709199996)"
3668376,David Michael and Co Inc,19154,Manufacturing/Industrial Plant,106420,1970,0,884279500,10772915.7,24594539.7,Not Available,Not Available,Not Available,332.3,560.5,6233.5,2669.5,,"10801 Decatur Rd.
Philadelphia, Pennsylvania
(40.08990607900006, -74.99502342499994)"
3773617,Union League of Philadelphia,19102,Social/Meeting Hall,221044,1865,1,883701500,15851009,18791615.1,Not Available,Not Available,Not Available,156.7,314.4,13035.9,3004.6,,"140 S Broad St.
Philadelphia, Pennsylvania
(39.949890922000066, -75.16416120399998)"
3389438,Philadelphia Nursing Home,19130,Senior Care Community,347543,1950,4,881444600,16001959.3,24903297.7,Not Available,Not Available,1,117.7,219.8,13188.2,3348.1,,"2300 Poplar St.
Philadelphia, Pennsylvania
(39.97201781900003, -75.17447905499995)"
2848103,Hospital of the University of Pennsylvania,19104,Hospital (General Medical & Surgical),1788504,1913,9,773009000,271553300.6,2109573,Not Available,277582670.4,6,308.2,664.7,140202.6,59077.5,,"3400 Spruce St
Philadelphia, Pennsylvania
(39.95043166700003, -75.19272009399998)"
3330863,Stanton MH,19132,K-12 School,83300,1959,1,785141600,976151.4,Not Available,3587999.9,Not Available,82,57.2,82.8,1115.9,400.5,,"2539 N. 16TH ST
Philadelphia, Pennsylvania
(39.91889363100006, -75.17418596299996)"
3877251,The Prepartory Charter High School,19145,K-12 School,64748,1950,2,773743300,98802.6,1929764.6,Not Available,Not Available,100,31.3,36.1,793.3,114.9,,"1928 Point Breeze Ave
Philadelphia, Pennsylvania
(39.92819715400003, -75.18566960399994)"
3632154,Terminal Complex,19153,Parking,7186808,1953,1,N/A,549319716.8,310620542.8,Not Available,Not Available,Not Available,274.4,654.6,180176.5,86049.5,,"8000 Essington Ave.
Philadelphia, Pennsylvania
(39.89499899300006, -75.22903494499997)"
3642842,George F. Kempf Supply Co.,19143,Non-Refrigerated Warehouse,260000,1928,1,884218500,1833400,428774.7,Not Available,Not Available,95,8.7,23.9,143.8,255,,"5200 Grays Ave.
Philadelphia, Pennsylvania
(39.936032914000066, -75.21368290399994)"
3637785,Chest Pac Associates,19102,Office,182472,1924,0,883324600,19530400.6,Not Available,Not Available,Not Available,43,107,336.1,2789.4,2473.3,,"111 South 15th Street
Philadelphia, Pennsylvania
(39.950486983000076, -75.16569631399994)"
