TCAD or WCAD Property ID(s),Floor Area (sqft),Building Type,Reported Portfolio Manager Energy Star Score,Reported Portfolio Manager Site kBTU/sqft,As of,Address
272155,69466,Office,88,40.7,03/13/2014 12:00:00 AM,"12708 RIATA VISTA CIR
AUSTIN, TX 78727
(30.433798796000474, -97.73891044899966)"
228188,255435,K-12 School,35.9,64.9,03/13/2014 12:00:00 AM,"7104 BERKMAN DR
AUSTIN, TX 78752
(30.323992186000453, -97.68963190499966)"
484995,136639,Retail,65,71.1,03/13/2014 12:00:00 AM,"800 E STASSNEY LN
AUSTIN, TX 78744
(30.200606320000475, -97.76686961999968)"
188636,235415,Hotel,14.7,106.7,03/13/2014 12:00:00 AM,"300 S CONGRESS AVE
AUSTIN, TX 78704
(30.25869094900048, -97.74634024999966)"
306057,128922,K-12 School,46.3,58.2,03/13/2014 12:00:00 AM,"2206 PRATHER LA
AUSTIN, TX 78704
(30.235146071000486, -97.7888688439997)"
259661,77922,K-12 School,84.7,31.4,03/13/2014 12:00:00 AM,"12135 THOMPKINS DRIVE
AUSTIN, TX 78753
(30.388704771000448, -97.6603947539997)"
548244,164733,Office,90.7,81.2,03/13/2014 12:00:00 AM,"10900 STONELAKE BLVD
AUSTIN, TX 78759
(30.400246842000456, -97.7361519589997)"
323569,59967,K-12 School,94.4,22.3,03/13/2014 12:00:00 AM,"2200 BERKELEY AVE
AUSTIN, TX 78745
(30.209408682000458, -97.8059393529997)"
244256,139843,Retail,,50.7,03/13/2014 12:00:00 AM,"2700 W ANDERSON LA
AUSTIN, TX 78757
(30.358096074000457, -97.73503861399968)"
426335,66323,Office,84.6,37,03/13/2014 12:00:00 AM,"1835 KRAMER LA
AUSTIN, TX 78758
(30.387425609000445, -97.7077628459997)"
547958,60796,Office,75.8,36,03/13/2014 12:00:00 AM,"2535 BROCKTON DR
AUSTIN, TX 78758
(30.39208270700044, -97.71839055299967)"
231488,69098,Retail,35,73.3,03/13/2014 12:00:00 AM,"7513 N IH 35
AUSTIN, TX 78752
(30.332252490000485, -97.70383703299967)"
187333,68070,Office,,,03/13/2014 12:00:00 AM,"15 WALLER ST
AUSTIN, TX 78702
(30.252945104000446, -97.73564430799968)"
396735,92185,Warehouse (Unrefrigerated),99,2.7,03/13/2014 12:00:00 AM,"9205 RESEARCH BLVD
AUSTIN, TX 78758
(30.377364049000448, -97.73338280899969)"
253978,49500,Warehouse (Unrefrigerated),,,03/13/2014 12:00:00 AM,"9218 RESEARCH BLVD
AUSTIN, TX 78758
(30.377285878000464, -97.73534419199967)"
758871,54570,Office,95.6,34.4,03/13/2014 12:00:00 AM,"1340 AIRPORT COMMERCE DR
AUSTIN, TX 78741
(30.22373783800049, -97.68696342999965)"
203858,374003,Other,,111.5,03/13/2014 12:00:00 AM,"2025 GUADALUPE ST
AUSTIN, TX 78705
(30.28364764300045, -97.7419093739997)"
309966,22064,"Service (Vehicle Repair/Service, Postal Service)",,118.2,03/13/2014 12:00:00 AM,"600 S CENTER ST
AUSTIN, TX 78704
(30.229480768000485, -97.76769244099967)"
134339,109767,Office,14.3,136.8,03/13/2014 12:00:00 AM,"6200 BRIDGE POINT PKWY
AUSTIN, TX 78730
(30.35373389400047, -97.79928454099968)"
194636,51308,Fire Station/Police Station,,76.8,03/13/2014 12:00:00 AM,"700 E 7TH ST
AUSTIN, TX 78701
(30.267127498000434, -97.73562252699969)"
254512,96431,K-12 School,76.5,41.4,03/13/2014 12:00:00 AM,"401 BRAKER LA
AUSTIN, TX 78753
(30.371744244000467, -97.6805695279997)"
547990,103114,Office,75.6,65.6,03/13/2014 12:00:00 AM,"10801 N MOPAC EXPY
AUSTIN, TX 78759
(30.397238442000457, -97.73142261199968)"
783902,124390,Other,,14.3,03/13/2014 12:00:00 AM,"3714 BLUESTEIN DR
AUSTIN, TX 78721
(30.274545456000453, -97.67148319599966)"
155453,35388,Office,62.7,56.9,03/13/2014 12:00:00 AM,"10415 MORADO CIR
AUSTIN, TX 78759
(30.40071823700049, -97.74946116899969)"
291761,36000,Other,,100.8,03/13/2014 12:00:00 AM,"2170 WOODWARD ST
AUSTIN, TX 78744
(30.212104568000484, -97.74605480699967)"
483334,51168,Hotel,14,84.6,03/13/2014 12:00:00 AM,"7712 E RIVERSIDE DR
AUSTIN, TX 78744
(30.216728503000468, -97.68977640199967)"
226766,97870,Office,,34,03/13/2014 12:00:00 AM,"6448 E US 290 HWY
AUSTIN, TX 78752
(30.332252490000485, -97.70383703299967)"
196770,60202,Office,54.2,68.7,03/13/2014 12:00:00 AM,"411 W 13TH ST
AUSTIN, TX 78701
(30.276183494000463, -97.74446769799965)"
191560,930452,Entertainment/Culture,,98.4,03/13/2014 12:00:00 AM,"500 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.262057041000446, -97.73970281899966)"
726208,208290,Other,,,03/13/2014 12:00:00 AM,"7171 SOUTHWEST PKWY
AUSTIN, TX 78735
(30.252304612000444, -97.86261965799969)"
196675,35623,K-12 School,61.4,64,03/13/2014 12:00:00 AM,"1106 RIO GRANDE ST
AUSTIN, TX 78701
(30.274901963000445, -97.74768929199968)"
738516,261081,Warehouse (Unrefrigerated),34.4,46.2,03/13/2014 12:00:00 AM,"2101 E ST ELMO RD
AUSTIN, TX 78744
(30.209895644000483, -97.74676308399967)"
199803,42770,Office,100,4.2,03/13/2014 12:00:00 AM,"1300 GUADALUPE ST
AUSTIN, TX 78701
(30.27631141000046, -97.74364927199969)"
547990,77449,Office,84.2,55.4,03/13/2014 12:00:00 AM,"10801 N MOPAC EXPY
AUSTIN, TX 78759
(30.397238442000457, -97.73142261199968)"
738513,372125,Warehouse (Unrefrigerated),4.2,85.2,03/13/2014 12:00:00 AM,"4401 FREIDRICH LN
AUSTIN, TX 78744
(30.209104459000457, -97.7501350979997)"
320412,180410,K-12 School,67.4,41,03/13/2014 12:00:00 AM,"3700 CONVICT HILLS RD
AUSTIN, TX 78749
(30.211486306000438, -97.83471970699969)"
242164,33000,Office,97,20.1,03/13/2014 12:00:00 AM,"9601 DESSAU RD
AUSTIN, TX 78754
(30.35345764200048, -97.67422894299966)"
245572,77135,Office,68,67.9,03/13/2014 12:00:00 AM,"7800 N MOPAC EXPY
AUSTIN, TX 78759
(30.36207332200047, -97.74489882299969)"
255876,42560,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"3106 LONGHORN BLVD
AUSTIN, TX 78758
(30.382385945000465, -97.72965784099966)"
291759,45834,K-12 School,27,43.6,03/13/2014 12:00:00 AM,"2100 E ST ELMO RD
AUSTIN, TX 78744
(30.21011594400045, -97.74708879599967)"
264616,880120,Hospital (General Medical and Surgical),,,03/13/2014 12:00:00 AM,"12221 N MOPAC EXPY
AUSTIN, TX 78758
(30.41225687600047, -97.7079937099997)"
310503,53190,Office,,,03/13/2014 12:00:00 AM,"5316 W US 290 HWY
AUSTIN, TX 78735
(30.233261478000486, -97.87507700699967)"
217540,97552,Office,74.5,75.7,03/13/2014 12:00:00 AM,"1600 W 38TH ST
AUSTIN, TX 78731
(30.30873580600047, -97.74976793099967)"
426049,53415,Office,59,65.8,03/13/2014 12:00:00 AM,"305 E HUNTLAND DR
AUSTIN, TX 78752
(30.33077411500045, -97.71055568299965)"
189868,55387,K-12 School,83.6,44.4,03/13/2014 12:00:00 AM,"3100 EAST 4TH ST
AUSTIN, TX 78702
(30.254267180000454, -97.70816080799966)"
311209,45024,Office,73.5,50.9,03/13/2014 12:00:00 AM,"1221 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.227363316000435, -97.7786722619997)"
126012,54070,Office,34,82,03/13/2014 12:00:00 AM,"3301 FM 2222 DR
AUSTIN, TX 78731
(30.337400164000485, -97.75706851399968)"
501516,33261,Office,34.5,111,03/13/2014 12:00:00 AM,"9390 RESEARCH BLVD
AUSTIN, TX 78759
(30.383486262000474, -97.74299192399968)"
255084,54000,Other,,17.2,03/13/2014 12:00:00 AM,"2012 CENTIMETER CIR
AUSTIN, TX 78758
(30.381270559000484, -97.71362056099969)"
239647,253895,Warehouse (Unrefrigerated),99,6.9,03/13/2014 12:00:00 AM,"8101 N LAMAR BLVD
AUSTIN, TX 78753
(30.349629915000435, -97.71038039099966)"
512301,61180,Retail,26.5,85.5,03/13/2014 12:00:00 AM,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19091429600047, -97.77193889399967)"
754224,250000,Office,82.8,58.9,03/13/2014 12:00:00 AM,"3900 N CAPITAL OF TX HWY
AUSTIN, TX 78746
(30.337558377000448, -97.80498154599968)"
361655,85639,Office,58.4,67.6,03/13/2014 12:00:00 AM,"6505 AIRPORT BLVD
AUSTIN, TX 78752
(30.32968564200047, -97.71567943999969)"
111295,79901,Office,82.9,52.3,03/13/2014 12:00:00 AM,"1114 LOST CREEK BLVD
AUSTIN, TX 78746
(30.28329587300044, -97.82531431099966)"
505617,226076,Warehouse (Unrefrigerated),53.2,52.1,03/13/2014 12:00:00 AM,"905 W HOWARD LA
AUSTIN, TX 78753
(30.420615134000457, -97.66368267499968)"
191621,36539,Office,60.3,59.5,03/13/2014 12:00:00 AM,"109 SABINE ST
AUSTIN, TX 78701
(30.264424483000482, -97.73673365999969)"
773055,56902,Office,,52.2,03/13/2014 12:00:00 AM,"8015 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.36424908200047, -97.73946238299965)"
191211,25000,Office,52.8,65,03/13/2014 12:00:00 AM,"624 N PLEASANT VALLEY RD
AUSTIN, TX 78702
(30.258833078000464, -97.71008902599965)"
126010,58950,Office,74,52.4,03/13/2014 12:00:00 AM,"3305 NORTHLAND DR
AUSTIN, TX 78731
(30.33699594300049, -97.75658015999966)"
196576,33252,Not Available,73.7,8.4,03/13/2014 12:00:00 AM,"1105 N LAMAR BLVD
AUSTIN, TX 78753
(30.276326807000487, -97.75162271699969)"
461059,128300,Office,95.9,30.4,03/13/2014 12:00:00 AM,"12234 N IH 35
AUSTIN, TX 78753
(30.371744244000467, -97.6805695279997)"
282820,108000,Distribution Center,19.6,37.1,03/13/2014 12:00:00 AM,"800 INTERCHANGE BLVD
AUSTIN, TX 78721
(30.25143762500045, -97.68501270699966)"
R337820,208541,Office,90.8,43.3,03/13/2014 12:00:00 AM,"9900 SPECTRUM DR
AUSTIN, TX 78717
(30.480798537000453, -97.77465000699965)"
729528,100937,SuperMarket/Grocery Store,81,197.7,03/13/2014 12:00:00 AM,"1700 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.236426418000462, -97.72111587899968)"
738242,81187,Office,70.9,60.5,03/13/2014 12:00:00 AM,"6300 BEE CAVES RD, PALISADES BUILDING TWO
AUSTIN, TX 78746
(30.296447557000477, -97.83091419899966)"
545923,86181,K-12 School,79.2,40.8,03/13/2014 12:00:00 AM,"6711 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.30085356100045, -97.6477950049997)"
509429,19539,Office,46.2,70.7,03/13/2014 12:00:00 AM,"3300 JONES RD
AUSTIN, TX 78745
(30.22938510300048, -97.8115775279997)"
460890,54532,Hotel,35,68.4,03/13/2014 12:00:00 AM,"3713 TUDOR BLVD
AUSTIN, TX 78759
(30.385133776000487, -97.73918523099968)"
244089,59630,Retail,,35.1,03/13/2014 12:00:00 AM,"2930 W ANDERSON LA
AUSTIN, TX 78757
(30.35992598700045, -97.73857762899968)"
236666,81138,K-12 School,74.7,36.2,03/13/2014 12:00:00 AM,"11316 FARMHAVEN RD
AUSTIN, TX 78754
(30.35096000700048, -97.61782115299968)"
R379649,93188,Office,,,03/13/2014 12:00:00 AM,"12501 RESEARCH BLVD
AUSTIN, TX 78759
(30.429412272000434, -97.75882037299965)"
768287,56196,Office,35.5,60,03/13/2014 12:00:00 AM,"7300 FM 2222 RD
AUSTIN, TX 78750
(30.35945368700044, -97.79179617199969)"
345130,77882,K-12 School,68.3,48.4,03/13/2014 12:00:00 AM,"9800 CURLEW DR
AUSTIN, TX 78748
(30.17805279300046, -97.83366913599968)"
228998,190500,Hotel,26.4,104.9,03/13/2014 12:00:00 AM,"6505 N IH 35 HWY
AUSTIN, TX 78752
(30.332252490000485, -97.70383703299967)"
199619,31864,Office,75.5,17.2,03/13/2014 12:00:00 AM,"1301 SHOAL CREEK BLVD
AUSTIN, TX 78703
(30.278134216000467, -97.75044304399967)"
295737,75295,K-12 School,53,52.4,03/13/2014 12:00:00 AM,"4209 SMITH SCHOOL RD
DEL VALLE, TX 78744
(30.196588802000463, -97.71412075599966)"
755355,120000,Office,99,1.4,03/13/2014 12:00:00 AM,"2500 MONTOPOLIS DR
AUSTIN, TX 78741
(30.21904757700048, -97.70756623399967)"
119495,90885,K-12 School,78.4,46.3,03/13/2014 12:00:00 AM,"2710 EXPOSITION BLVD
AUSTIN, TX 78703
(30.303382275000445, -97.76435038199969)"
243472,51638,Retail,98,19.3,03/13/2014 12:00:00 AM,"825 E RUNDBERG LA
AUSTIN, TX 78753
(30.356747032000442, -97.68562623099967)"
228171,91008,College/University (Campus-Level),,84,03/13/2014 12:00:00 AM,"5930 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.322127925000473, -97.71106497899967)"
548014,69035,Office,41.8,61.1,03/13/2014 12:00:00 AM,"11525 STONEHOLLOW DR
AUSTIN, TX 78758
(30.39568686500047, -97.70880157299968)"
155453,35388,Office,88.2,37.2,03/13/2014 12:00:00 AM,"10415 MORADO CIR
AUSTIN, TX 78759
(30.40071823700049, -97.74946116899969)"
292254,745378,Other,,119.4,03/13/2014 12:00:00 AM,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78617
(30.202654164000478, -97.66544507699967)"
522984,90000,Office,,,03/13/2014 12:00:00 AM,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.391518928000437, -97.84769491299966)"
190772,35070,Other,,47.9,03/13/2014 12:00:00 AM,"600 RIVER ST
AUSTIN, TX 78701
(30.257996885000466, -97.7395831929997)"
R056913,41962,Retail,,,03/13/2014 12:00:00 AM,"10700 ANDERSON MILL RD
AUSTIN, TX 78750
(30.44705826100045, -97.81072356899966)"
531749,60000,Office,85,41.2,03/13/2014 12:00:00 AM,"8656 W US 71 HWY
AUSTIN, TX 78745
(30.20688170000045, -97.7956469989997)"
312560,48312,Other,,25.1,03/13/2014 12:00:00 AM,"211 W ALPINE RD
AUSTIN, TX 78704
(30.22617653800046, -97.76024521799968)"
220683,71449,K-12 School,79.3,46.2,03/13/2014 12:00:00 AM,"1711 WHELESS LA
AUSTIN, TX 78723
(30.315234662000478, -97.69072274599966)"
310516,40000,Warehouse (Unrefrigerated),85,11.3,03/13/2014 12:00:00 AM,"5321 INDUSTRIAL OAKS BLVD
AUSTIN, TX 78735
(30.23857375300048, -97.83998914499966)"
221006,305334,K-12 School,34,59.8,03/13/2014 12:00:00 AM,"7309 LAZY CREEK DR
AUSTIN, TX 78724
(30.31443400100045, -97.65740530499966)"
134338,77012,Other,,71.3,03/13/2014 12:00:00 AM,"6011 W COURTYARD DR
AUSTIN, TX 78730
(30.35503674500046, -97.79712180899969)"
196748,90963,Office,31.9,87.9,03/13/2014 12:00:00 AM,"501 W 13TH ST
AUSTIN, TX 78701
(30.276293644000475, -97.74483841799969)"
548260,77540,Warehouse (Unrefrigerated),4.4,121.2,03/13/2014 12:00:00 AM,"2105 GRACY FARMS LA
AUSTIN, TX 78758
(30.39940709500047, -97.70676675799967)"
464249,104400,Warehouse (Unrefrigerated),,120.9,03/13/2014 12:00:00 AM,"6301 E STASSNEY LA
AUSTIN, TX 78744
(30.20276668200046, -97.7190360569997)"
548335,239203,Office,,,03/13/2014 12:00:00 AM,"701 E PARMER LA
AUSTIN, TX 78754
(30.35125319900044, -97.65755837899968)"
234163,72720,Office,18.4,97.4,03/13/2014 12:00:00 AM,"844 E ANDERSON LA
AUSTIN, TX 78752
(30.338508653000474, -97.69839645599967)"
461491,81100,Warehouse (Unrefrigerated),85.7,14.5,03/13/2014 12:00:00 AM,"12318 N MOPAC EXPY
AUSTIN, TX 78758
(30.41664025400047, -97.70604071499969)"
702193,51344,Office,51,65.5,03/13/2014 12:00:00 AM,"9100 E US 290 HWY
AUSTIN, TX 78724
(30.289480256000445, -97.63196629699968)"
503607,63184,Hotel,74.6,65.2,03/13/2014 12:00:00 AM,"12401 N LAMAR BLVD
AUSTIN, TX 78753
(30.405875156000434, -97.67852924899967)"
494781,72000,K-12 School,53.3,40.1,03/13/2014 12:00:00 AM,"3230 TRAVIS COUNTRY CIR
AUSTIN, TX 78735
(30.25620888500049, -97.84433181499969)"
187750,84474,Warehouse (Unrefrigerated),,30.6,03/13/2014 12:00:00 AM,"5117 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25122324700044, -97.69762429999969)"
191088,31425,Office,96,20.4,03/13/2014 12:00:00 AM,"411 CHICON ST
AUSTIN, TX 78702
(30.260455719000447, -97.72306423299966)"
190749,304789,Other,,158.4,03/13/2014 12:00:00 AM,"305 S CONGRESS AVE
AUSTIN, TX 78704
(30.258759645000453, -97.74624194299969)"
555257,94644,K-12 School,71.1,44.4,03/13/2014 12:00:00 AM,"2206 BLUE MEADOWS DR
AUSTIN, TX 78744
(30.18134545200047, -97.76369777199966)"
206870,53731,Other,,327.3,03/13/2014 12:00:00 AM,"1025 E 32ND ST
AUSTIN, TX 78705
(30.289384923000455, -97.72367301899965)"
212576,38173,Office,48.6,63.4,03/13/2014 12:00:00 AM,"800 W 34TH ST
AUSTIN, TX 78705
(30.302096007000443, -97.74340765199969)"
255063,76050,Warehouse (Unrefrigerated),84.5,7.3,03/13/2014 12:00:00 AM,"10315 METROPOLITAN DR
AUSTIN, TX 78758
(30.383763415000487, -97.71742052199966)"
253987,56000,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"9230 NEILS THOMPSON DR
AUSTIN, TX 78758
(30.38088293000044, -97.73376892699969)"
300239,45737,Social/Meeting,,,03/13/2014 12:00:00 AM,"9201 CIRCUIT OF THE AMERCIAS BLVD
AUSTIN, TX 78716
(30.273521050000454, -97.79924900799966)"
546147,161147,K-12 School,59.3,55.5,03/13/2014 12:00:00 AM,"7414 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.308002657000486, -97.6432824049997)"
258258,31680,Warehouse (Unrefrigerated),,17.2,03/13/2014 12:00:00 AM,"2340 E BRAKER LA
AUSTIN, TX 78753
(30.371744244000467, -97.6805695279997)"
310483,38200,Office,17.3,84.5,03/13/2014 12:00:00 AM,"4017 S CAPITAL OF TX HWY
AUSTIN, TX 78746
(30.338506847000474, -97.8039957039997)"
196868,109797,Office,52.6,75.5,03/13/2014 12:00:00 AM,"314 W 11TH ST
AUSTIN, TX 78701
(30.273607403000483, -97.74417396499967)"
501514,103667,Office,99,18.2,03/13/2014 12:00:00 AM,"9430 RESEARCH BLVD
AUSTIN, TX 78759
(30.384990462000474, -97.74338988599965)"
310482,64717,Office,67,84.8,03/13/2014 12:00:00 AM,"3801 S CAPITAL OF TX HWY
AUSTIN, TX 78704
(30.242144747000452, -97.80087283499967)"
443291,68752,K-12 School,84.6,32.7,03/13/2014 12:00:00 AM,"12900 DESSAU RD
AUSTIN, TX 78753
(30.397367543000485, -97.64269493799969)"
575643,24451,Other Specialty Hospital,,,03/13/2014 12:00:00 AM,"1106 W DITTMAR RD
AUSTIN, TX 78745
(30.18568749700046, -97.80532147699967)"
210527,45825,K-12 School,60.7,80.5,03/13/2014 12:00:00 AM,"3308 HAMPTON ROAD
AUSTIN, TX 78705
(30.29327689300044, -97.72710662299966)"
115324,84548,Office,53.3,88.3,03/13/2014 12:00:00 AM,"804 LAS CIMAS PKWY
AUSTIN, TX 78746
(30.290808583000455, -97.82904046299967)"
251471,71478,Other,,127.5,03/13/2014 12:00:00 AM,"8610 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.371803246000468, -97.73729965099966)"
312778,15850,Medical Office,75.8,68.9,03/13/2014 12:00:00 AM,"1701 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.22819477100046, -97.78559039799967)"
142136,35210,Office,51.5,73.5,03/13/2014 12:00:00 AM,"8601 FM 2222 RD
AUSTIN, TX 78730
(30.382371218000458, -97.81348261699969)"
289939,86440,K-12 School,69.5,46.1,03/13/2014 12:00:00 AM,"2800 METCALFE RD
AUSTIN, TX 78741
(30.22429214200048, -97.73715989099969)"
291807,37600,Warehouse (Unrefrigerated),,11.9,03/13/2014 12:00:00 AM,"4009 COMMERCIAL CENTER DR
AUSTIN, TX 78744
(30.211215077000475, -97.74091446899968)"
494809,80249,Office,,,03/13/2014 12:00:00 AM,"7500 RIALTO BLVD
AUSTIN, TX 78735
(30.252365017000443, -97.87064758699967)"
496415,43782,Office,63,64.7,03/13/2014 12:00:00 AM,"7501 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.37512788400045, -97.78133244499969)"
505679,50530,Office,68,90.2,03/13/2014 12:00:00 AM,"3107 OAK CREEK DR
AUSTIN, TX 78727
(30.426395052000487, -97.70359135499967)"
341202,73652,K-12 School,75.9,48,03/13/2014 12:00:00 AM,"500 MAIRO ST
AUSTIN, TX 78748
(30.180447669000444, -97.79136794799967)"
761688,32840,Supermarket/Grocery,,,03/13/2014 12:00:00 AM,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222226532000434, -97.83897529099966)"
195180,32845,Other,,54.5,03/13/2014 12:00:00 AM,"900 NILE ST
AUSTIN, TX 78702
(30.266286138000453, -97.71176131199968)"
336711,100550,Warehouse (Unrefrigerated),100,2.3,03/13/2014 12:00:00 AM,"7112 S CONGRESS AVE
AUSTIN, TX 78745
(30.18792010900046, -97.78059100599967)"
358915,34150,Supermarket/Grocery,15.5,309.2,03/13/2014 12:00:00 AM,"715 EXPOSITION BLVD
AUSTIN, TX 78703
(30.283754240000462, -97.7763756919997)"
812916,125312,Office,,274.4,03/13/2014 12:00:00 AM,"3110 ESPERANZA CROSSING
AUSTIN, TX 78758
(30.399356166000473, -97.72246018399966)"
194482,178606,Other,,72.7,03/13/2014 12:00:00 AM,"206 E 9TH ST
AUSTIN, TX 78701
(30.270337248000487, -97.73983310399967)"
291764,71550,Office,,47.9,03/13/2014 12:00:00 AM,"4120 FREIDRICH LA
AUSTIN, TX 78744
(30.213685754000437, -97.74630827099969)"
214615,792332,Hospital (General Medical and Surgical),44.7,240.9,03/13/2014 12:00:00 AM,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306274603000475, -97.74556209299965)"
542197,60970,Office,56,44.9,03/13/2014 12:00:00 AM,"6907 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.369687891000467, -97.78780169099969)"
224187,60294,Office,43.5,49.3,03/13/2014 12:00:00 AM,"4601 PECAN BROOK DRIVE
AUSTIN, TX 78724
(30.318234771000448, -97.6605321459997)"
154597,139252,Office,83.3,54.7,03/13/2014 12:00:00 AM,"9600 GREAT HILLS TRL
AUSTIN, TX 78759
(30.395028333000482, -97.75411352899965)"
R362154,87500,Warehouse (Unrefrigerated),98.7,7.5,03/13/2014 12:00:00 AM,"12915 RESEARCH BLVD
AUSTIN, TX 78729
(30.43850795500049, -97.77702558199968)"
105438,40479,Office,12,171.1,03/13/2014 12:00:00 AM,"301 WEST AVE
AUSTIN, TX 78701
(30.268079763000458, -97.75135148599969)"
496107,68638,Office,41,46.9,03/13/2014 12:00:00 AM,"6805 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.36945930000047, -97.78807055199968)"
251481,58132,Retail,44,65.6,03/13/2014 12:00:00 AM,"9025 RESEARCH BLVD
AUSTIN, TX 78758
(30.372396636000474, -97.72385897199968)"
223742,73856,K-12 School,89.6,37.5,03/13/2014 12:00:00 AM,"6801 NORTHEAST DR
AUSTIN, TX 78723
(30.31797420100048, -97.68051550399969)"
799363,30000,Medical Office,43.9,187.4,03/13/2014 12:00:00 AM,"7600 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.374932456000465, -97.78203953799965)"
326599,72858,K-12 School,80.1,40.6,03/13/2014 12:00:00 AM,"8101 CROFTWOOD DR
AUSTIN, TX 78749
(30.204043476000436, -97.84083481299967)"
426292,108000,Warehouse (Unrefrigerated),1,61.6,03/13/2014 12:00:00 AM,"2222 W RUNDBERG LA
AUSTIN, TX 78758
(30.378010737000466, -97.71995871199965)"
311354,165216,K-12 School,74.9,42.5,03/13/2014 12:00:00 AM,"6001 WESTCREEK DRIVE
AUSTIN, TX 78749
(30.232180309000455, -97.84607108799969)"
R455270,109045,Other,,196.1,03/13/2014 12:00:00 AM,"13725 RR 620
AUSTIN, TX 78717
(30.47381562400045, -97.77357582499968)"
194636,104425,Fire Station/Police Station,,87.6,03/13/2014 12:00:00 AM,"715 E 8TH ST
AUSTIN, TX 78701
(30.26777418600045, -97.7345980129997)"
192838,327910,Other,,,03/13/2014 12:00:00 AM,"201 E 2ND STREET
AUSTIN, TX 78701
(30.263783910000484, -97.74236892499965)"
291773,84456,Office,100,20.1,03/13/2014 12:00:00 AM,"3907 1 INDUSTRIAL DR
AUSTIN, TX 78744
(30.188402392000455, -97.7461486959997)"
477612,62167,Office,1,234.1,03/13/2014 12:00:00 AM,"1825 KRAMER LA
AUSTIN, TX 78758
(30.38685464700046, -97.70658115899965)"
256623,58668,Office,64.2,52.9,03/13/2014 12:00:00 AM,"1908 KRAMER LA
AUSTIN, TX 78758
(30.386896178000484, -97.70654882599968)"
235497,60888,Other,,79.5,03/13/2014 12:00:00 AM,"8601 CROSS PARK DR
AUSTIN, TX 78754
(30.340996754000457, -97.67687936699969)"
464251,85156,Warehouse (Unrefrigerated),96,9.7,03/13/2014 12:00:00 AM,"6301 E STASSNEY LA
AUSTIN, TX 78744
(30.20276668200046, -97.7190360569997)"
783937,329590,Wastewater,75,,03/13/2014 12:00:00 AM,"7113 FM 969
AUSTIN, TX 78724
(30.28224411700046, -97.65176040799969)"
"194450, 194452",49285,Office,,,03/13/2014 12:00:00 AM,"119 E 10TH ST
AUSTIN, TX 78701
(30.27165531400044, -97.74112400399969)"
225495,58350,Warehouse (Unrefrigerated),,,03/13/2014 12:00:00 AM,"5639 AIRPORT BLVD
AUSTIN, TX 78751
(30.318916991000435, -97.71267340799966)"
310021,64000,Office,99,26.6,03/13/2014 12:00:00 AM,"706 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.22749597000046, -97.77044890699966)"
291776,14488,Warehouse (Unrefrigerated),34.8,33.4,03/13/2014 12:00:00 AM,"3810 TODD LN
AUSTIN, TX 78744
(30.213446504000444, -97.7362763219997)"
134350,136095,Office,96.3,51.4,03/13/2014 12:00:00 AM,"6504 BRIDGE POINT PKWY
AUSTIN, TX 78731
(30.355216775000486, -97.8033150869997)"
526395,57300,Office,,25.4,03/13/2014 12:00:00 AM,"9330 UNITED DR
AUSTIN, TX 78758
(30.378696510000452, -97.72996578699968)"
547958,45000,Office,75.5,45,03/13/2014 12:00:00 AM,"2535 BROCKTON DR
AUSTIN, TX 78758
(30.39208270700044, -97.71839055299967)"
246705,69840,Warehouse (Unrefrigerated),97,3.7,03/13/2014 12:00:00 AM,"10100 N IH 35
AUSTIN, TX 78753
(30.371744244000467, -97.6805695279997)"
R381822,78164,Office,1,328.6,03/13/2014 12:00:00 AM,"9500 AMBERGLEN BLVD
AUSTIN, TX 78729
(30.470716842000456, -97.77405424899968)"
156314,61161,Office,53.8,92.6,03/13/2014 12:00:00 AM,"11044 RESEARCH BLVD
AUSTIN, TX 78759
(30.405163326000434, -97.74588188399969)"
R405458,101045,Office,91.4,30.9,03/13/2014 12:00:00 AM,"9501 AMBERGLEN BLVD
AUSTIN, TX 78729
(30.471292465000488, -97.77451498399967)"
128596,69477,Office,77.5,60,03/13/2014 12:00:00 AM,"5806 MESA DR
AUSTIN, TX 78731
(30.342885887000477, -97.77082436399968)"
