Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
Riverlodge,439201,05/31/2012 12:00:00 AM,43.3,15%,19,Needed,2000,Yes,Electric,498,6.67,02/10/2014 12:00:00 AM,"10301 RANCH RD 2222
Austin, TX 78730
(30.39213670100048, -97.8389379459997)"
225 North Loop,221429,03/21/2011 12:00:00 AM,52,10%,19,Complete,1954,Yes,Electric,8,11.82,02/10/2014 12:00:00 AM,"225 W North Loop
Austin, TX 78756
(30.32110358400047, -97.72938647099966)"
Garner Park Apts,238184,11/09/2012 12:00:00 AM,45,15%,18,Needed,1972,Yes,Electric,20,16.38,02/10/2014 12:00:00 AM,"8225 SAM RAYBURN DR
Austin, TX 78753
(30.34791489000048, -97.69903493199968)"
Beech Apartments,242744,03/23/2011 12:00:00 AM,55,10%,4,Needed,1967,Yes,Electric,15,9.94,02/10/2014 12:00:00 AM,"8410 Beech Dr
Austin, TX 78758
(30.357828938000466, -97.71455881799966)"
The Timbers,225564,05/25/2011 12:00:00 AM,8,10%,18,Complete,1997,Yes,Gas and Electric,105,9.14,02/10/2014 12:00:00 AM,"1034 Clayton Ln
Austin, TX 78723
(30.319105312000488, -97.70348831199965)"
Skansen Apartments,215807,04/01/2011 12:00:00 AM,25,10%,,Complete,1975,Yes,Electric,30,14.96,02/10/2014 12:00:00 AM,"4205 Speedway
Austin, TX 78751
(30.30579491700047, -97.73020503799967)"
Westdale Pointe Apartments,135729,09/27/2011 12:00:00 AM,75,15%,21,Complete,1978,Yes,Electric,280,9.56,02/10/2014 12:00:00 AM,"7117 WOOD HOLLOW DR
Austin, TX 78731
(30.354525080000485, -97.7523748159997)"
TowerView Apartments,206936,04/30/2011 12:00:00 AM,37,10%,,Needed,1962,Yes,Gas and Electric,20,7.05,02/10/2014 12:00:00 AM,"926 E. Dean Keaton
Austin, TX 78705
(30.287386824000464, -97.72709004099966)"
Blackstone Apartments,208863,10/04/2010 12:00:00 AM,22,15%,,Needed,1963,Yes,Gas and Electric,25,10.4,02/10/2014 12:00:00 AM,"2910 Medical Arts
Austin, TX 78705
(30.28932688700047, -97.72844618999966)"
,106609,03/29/2011 12:00:00 AM,28,10%,,Needed,1967,Yes,Gas and Electric,14,7.8,02/10/2014 12:00:00 AM,"801 W. Lynn
Austin, TX 78703
(30.27689295500045, -97.76127565499968)"
Balcones Club Apartments,174383,04/28/2011 12:00:00 AM,36,10%,12,Complete,1983,No,Electric,313,13.68,02/10/2014 12:00:00 AM,"9218 Balcones Club Dr
Austin, TX 78750
(30.443274072000463, -97.78744044599966)"
Northwest Hills Apartments,138273,03/16/2011 12:00:00 AM,43,15%,11,Needed,1978,Yes,Electric,314,8.04,02/10/2014 12:00:00 AM,"3600 Greystone Dr.
Austin, TX 78731
(30.358247679000442, -97.7520692389997)"
FashionAire Apartments,226378,02/04/2011 12:00:00 AM,75,15%,,Needed,1973,Yes,Electric,38,9.18,02/10/2014 12:00:00 AM,"1405 W. North Loop Blvd
Austin, TX 78756
(30.32441502000046, -97.73646227399968)"
Winhurst Apartments,255046,04/27/2011 12:00:00 AM,75,15%,,Needed,1983,Yes,Electric,16,12.53,02/10/2014 12:00:00 AM,"9079 Jollyville Road
Austin, TX 78759
(30.38148224100047, -97.74326078499968)"
Salado at Walnut Creek,525921,08/15/2011 12:00:00 AM,36,15%,16,Needed,1984,Yes,Electric,290,13.25,02/10/2014 12:00:00 AM,"2104 E. Anderson Lane
Austin, TX 78752
(30.329376512000465, -97.67845936899965)"
2703 Windswept West,509358,02/04/2011 12:00:00 AM,45,10%,12,Complete,1971,No,Gas and Electric,6,10.41,02/10/2014 12:00:00 AM,"2703 Windswept Cove
Austin, TX 78745
(30.22959474400045, -97.80160124699967)"
The Arts Apartments at South Austin,315648,02/09/2011 12:00:00 AM,59,15%,,Needed,1984,Yes,Electric,140,11.88,02/10/2014 12:00:00 AM,"400 W. Saint Elmo Rd.
Austin, TX 78745
(30.21549553200049, -97.76295870099966)"
Bastille Apartments,250111,12/11/2012 12:00:00 AM,34,15%,,needed,1972,Yes,Electric,56,10.09,02/10/2014 12:00:00 AM,"9315 NORTHGATE BLVD
Austin, TX 78758
(30.372894088000464, -97.71496523999969)"
Audubon Square,R056945,05/13/2011 12:00:00 AM,17,10%,9,Needed,1984,Yes,Electric,164,12.91,02/10/2014 12:00:00 AM,"12425 MELLOW MEADOWS DR
Austin, TX 78750
(30.45756634300045, -97.79700929099965)"
Clear Creek Estates,236571,04/05/2011 12:00:00 AM,40,10%,11,Needed,1984,No,Gas and Electric,40,9.55,02/10/2014 12:00:00 AM,"8501 Cameron Rd
Austin, TX 78754
(30.341461042000446, -97.68044799299969)"
Red River Place,206934,04/30/2011 12:00:00 AM,41,15%,,Needed,1967,No,Electric,24,10.53,02/10/2014 12:00:00 AM,"924 Dean Keeton
Austin, TX 78705
(30.292743355000482, -97.74027859399968)"
WoodTrail at Riata,444092,12/06/2010 12:00:00 AM,60,15%,23,Needed,1999,Yes,Gas and Electric,479,7.5,02/10/2014 12:00:00 AM,"5700 Tapadera Trace Lane
Austin, TX 78727
(30.430095147000486, -97.7420574249997)"
Beverly Apartments,242748,01/28/2011 12:00:00 AM,52,10%,15,Needed,1967,Yes,Gas and Electric,26,9.72,02/10/2014 12:00:00 AM,"8400 Beech Drive
Austin, TX 78758
(30.35770877200048, -97.71453056199965)"
House 2500,204046,05/24/2011 12:00:00 AM,35,15%,,Complete,1963,Yes,Electric,26,9.05,02/10/2014 12:00:00 AM,"2500 E 22nd St
Austin, TX 78722
(30.28385846800046, -97.71559297799968)"
Newning Oaks,282787,01/24/2011 12:00:00 AM,14,10%,6,Needed,1963,Yes,Gas and Electric,20,6.81,02/10/2014 12:00:00 AM,"1300 Newning Ave
Austin, TX 78704
(30.250031731000433, -97.74384114599968)"
Enclave (formerly Ironstone),319611,05/24/2011 12:00:00 AM,5.6,10%,30,Needed,1982,Yes,Electric,90,11.75,02/10/2014 12:00:00 AM,"1005 W. Stassney
Austin, TX 78745
(30.21009580900045, -97.78603455199965)"
Sao Paulo Dos,199644,06/01/2011 12:00:00 AM,39,10%,7,Needed,1982,Yes,Gas and Electric,8,8.51,02/10/2014 12:00:00 AM,"1214 Baylor St
Austin, TX 78703
(30.278253841000435, -97.7519389529997)"
Warwick,211418,01/07/2011 12:00:00 AM,15,10%,,Needed,1971,Yes,Electric,56,8.12,02/10/2014 12:00:00 AM,"2907 West Ave.
Austin, TX 78705
(30.297094244000448, -97.74481472999969)"
Capital Steps Apartments,220631,04/08/2011 12:00:00 AM,70,10%,12,Needed,1969,Yes,Gas and Electric,50,8.65,02/10/2014 12:00:00 AM,"5211 Cameron Rd
Austin, TX 78723
(30.31058822300048, -97.70817265199969)"
Scofield Ridge,378888,05/26/2011 12:00:00 AM,43,15%,26,Needed,1999,Yes,Electric,486,7.22,02/10/2014 12:00:00 AM,"2601 Scofield Ridge Pkwy
Austin, TX 78727
(30.429613093000455, -97.69677626299966)"
Fairfield Village,241775,02/16/2011 12:00:00 AM,18,10%,7,Needed,1984,Yes,Electric,48,17.16,02/10/2014 12:00:00 AM,"824 Fairfield Dr
Austin, TX 78753
(30.356223523000438, -97.70353331899969)"
Fort Branch at Truman's Landing,783949,12/19/2012 12:00:00 AM,60.8,15%,18,Complete,2002,Yes,Electric,250,8.12,02/10/2014 12:00:00 AM,"5800 TECHNI CENTER DR
Austin, TX 78721
(30.27812355700047, -97.67170231299968)"
401 LITTLE TEXAS,532172,12/17/2012 12:00:00 AM,53,10%,30,Complete,2002,Yes,Electric,528,8.53,02/10/2014 12:00:00 AM,"401 LITTLE TEXAS LN
Austin, TX 78745
(30.200945061000482, -97.77239252199968)"
The Villas of Bristol Heights,526814,04/09/2013 12:00:00 AM,15.2,10%,30,Needed,2003,No,Electric,351,10.23,02/10/2014 12:00:00 AM,"12025 DESSAU RD
Austin, TX 78754
(30.380890037000484, -97.65250895599968)"
51st Street Flats,218516,03/10/2011 12:00:00 AM,19,10%,33,Needed,1985,Yes,Electric,20,11.42,02/10/2014 12:00:00 AM,"1202 E. 51st St
Austin, TX 78723
(30.308245461000467, -97.70796893299968)"
Whisper Hollow,290117,03/09/2011 12:00:00 AM,8,10%,11,Needed,1980,No,Electric,200,15.33,02/10/2014 12:00:00 AM,"3300 Parker Ln
Austin, TX 78741
(30.22200267800048, -97.7421723119997)"
RockCreek at Riata,424194,12/09/2010 12:00:00 AM,54,15%,23,Complete,1997,Yes,Gas and Electric,307,8.08,02/10/2014 12:00:00 AM,"12345 Alameda Trace Circle
Austin, TX 78727
(30.43162185200049, -97.74715630799966)"
The Barrington at Park Place,504105,02/01/2011 12:00:00 AM,11,10%,15,Needed,1984,Yes,Electric,294,13.38,02/10/2014 12:00:00 AM,"3220 Duval Road
Austin, TX 78759
(30.41034630200045, -97.71700834699965)"
SOMERSET,208372,12/30/2012 12:00:00 AM,19,15%,12,Needed,1931,No,Gas and Electric,16,9.03,02/10/2014 12:00:00 AM,"2800 WHITIS AVE
Austin, TX 78705
(30.293234253000435, -97.74021211499968)"
Shady Oaks,205433,05/24/2011 12:00:00 AM,8.7,15%,,Complete,1964,Yes,Electric,42,8.58,02/10/2014 12:00:00 AM,"2700 Manor Rd
Austin, TX 78722
(30.285137630000463, -97.7141349689997)"
Conquistador Apartments,203652,10/05/2010 12:00:00 AM,67,10%,,Needed,1966,No,Gas and Electric,10,7.51,02/10/2014 12:00:00 AM,"2101 San Gabriel
Austin, TX 78705
(30.28502748000045, -97.74808843899967)"
1512 WOODLAWN,112154,03/28/2013 12:00:00 AM,34,10%,10,Needed,1930,No,Gas and Electric,6,2.92,02/10/2014 12:00:00 AM,"1512 WOODLAWN BLVD
Austin, TX 78703
(30.284485021000478, -97.75986739199965)"
Plaza Ventura,291163,06/27/2011 12:00:00 AM,25,10%,,Needed,1973,Yes,Electric,48,9.55,02/10/2014 12:00:00 AM,"2414 Ventura Drive
Austin, TX 78741
(30.216949988000465, -97.73539038399969)"
Highland Street Apartments,232317,03/14/2011 12:00:00 AM,69,10%,,Needed,1972,Yes,Gas and Electric,18,10.91,02/10/2014 12:00:00 AM,"7000 Guadalupe St
Austin, TX 78752
(30.335766401000456, -97.7157765609997)"
Highpoint Village,290410,03/08/2011 12:00:00 AM,50,15%,6,Needed,1979,No,Electric,164,13.84,02/10/2014 12:00:00 AM,"2400 Wickersham Ln
Austin, TX 78741
(30.226495144000467, -97.72263429299966)"
6110 Wheless Cove,220918,11/01/2012 12:00:00 AM,28,10%,,Needed,1983,No,Electric,6,12.57,02/10/2014 12:00:00 AM,"6110 WHELESS CV
Austin, TX 78723
(30.309964039000477, -97.67993751299969)"
Park Terrace Apartments,101903,10/31/2012 12:00:00 AM,32,15%,1,Complete,1964,Yes,Electric,65,7.04,02/10/2014 12:00:00 AM,"516 DAWSON RD
Austin, TX 78704
(30.259472660000483, -97.75618269299969)"
Shoal Bend Apts.,217592,05/11/2011 12:00:00 AM,28,10%,13,Needed,1968,Yes,Gas and Electric,16,2.69,02/10/2014 12:00:00 AM,"3935 Shoal Creek Blvd.
Austin, TX 78756
(30.310479257000452, -97.74845915899965)"
Serenada Apartments,223402,12/04/2012 12:00:00 AM,27,10%,22,Needed,1967,Yes,Electric,28,9.24,02/10/2014 12:00:00 AM,"6509 BERKMAN DR
Austin, TX 78723
(30.31861496600044, -97.68975508299968)"
Great Northern Apartments,237288,07/18/2011 12:00:00 AM,30,10%,,Needed,1971,Yes,Gas and Electric,36,9.11,02/10/2014 12:00:00 AM,"6811 Great Northen Blvd
Austin, TX 78757
(30.349796917000447, -97.74840230599966)"
Hemphill Park,"208381, 208383",03/29/2011 12:00:00 AM,,N\A,,Needed,1969,Yes,Electric,20,6.73,02/10/2014 12:00:00 AM,"2721 Hemphill Park
Austin, TX 78705
(30.293317163000438, -97.74095947699965)"
Madison at the Arboretum,375765,04/15/2011 12:00:00 AM,23,10%,19,Needed,1994,No,Electric,161,11.01,02/10/2014 12:00:00 AM,"10307 Morado Cove
Austin, TX 78759
(30.40168353000047, -97.75292556699969)"
Waters Edge Apartments,264711,05/17/2011 12:00:00 AM,23,15%,19,Needed,1985,Yes,Electric,184,13.57,02/10/2014 12:00:00 AM,"12330 Metric Blvd.
Austin, TX 78758
(30.410289451000438, -97.69616273799966)"
Beehives Apt,218060,05/01/2011 12:00:00 AM,25,10%,11,Needed,1973,Yes,Electric,20,9.74,02/10/2014 12:00:00 AM,"4209 Ave. B
Austin, TX 78751
(30.307233975000486, -97.73283561199969)"
Tramor at Hunter's Glen,323566,02/16/2012 12:00:00 AM,9.5,15%,10,Complete,1984,Yes,Electric,258,14.42,02/10/2014 12:00:00 AM,"2309 BERKELEY AVE
Austin, TX 78745
(30.209704954000472, -97.8066728879997)"
San Marin,"548479, 548476",11/08/2012 12:00:00 AM,37.2,15%,16.8,Needed,1995,No,Gas and Electric,459,8.86,02/10/2014 12:00:00 AM,"3625 DUVAL RD
Austin, TX 78759
(30.41176285600045, -97.72341955599967)"
Great Oaks,206950,06/04/2011 12:00:00 AM,70,15%,,Needed,1971,Yes,Electric,34,3.42,02/10/2014 12:00:00 AM,"2904 Swisher
Austin, TX 78705
(30.288516751000486, -97.72582627599968)"
,106914,12/12/2012 12:00:00 AM,15,10%,11,Needed,1962,No,Gas and Electric,7,10.94,02/10/2014 12:00:00 AM,"1100 BLANCO ST
Austin, TX 78703
(30.27698297000046, -97.75458847699969)"
Waterston Apartment,110161,04/30/2011 12:00:00 AM,18,10%,30,Needed,1979,Yes,Electric,10,13.8,02/10/2014 12:00:00 AM,"1620 Waterston
Austin, TX 78703
(30.28147543600045, -97.7603281269997)"
Giant Oaks,310980,11/28/2012 12:00:00 AM,39,10%,,Needed,1974,Yes,Gas and Electric,20,7.9,02/10/2014 12:00:00 AM,"515 KREBS LN
Austin, TX 78704
(30.227755355000454, -97.76825301099967)"
Lantern Hills Apartments,"228220, 228226",05/16/2011 12:00:00 AM,31,10%,11,Needed,1970,Yes,Gas and Electric,177,8.98,02/10/2014 12:00:00 AM,"1501 Reagan Hill Dr.
Austin, TX 78752
(30.326606177000485, -97.69005592299965)"
Shoal Terrace Apts,217471,10/21/2010 12:00:00 AM,44,10%,15,Needed,1972,Yes,Gas and Electric,13,10.97,02/10/2014 12:00:00 AM,"1611 W 39 1/2 St
Austin, TX 78756
(30.310055239000462, -97.7482424109997)"
Central Park I,230001,05/10/2011 12:00:00 AM,41,10%,,Needed,1974,Yes,Gas and Electric,61,7.93,02/10/2014 12:00:00 AM,"6008 N. Lamar Blvd
Austin, TX 78757
(30.328667050000433, -97.7246667389997)"
North Village,240126,02/18/2011 12:00:00 AM,12,10%,15,Needed,1983,Yes,Electric,104,11.56,02/10/2014 12:00:00 AM,"2101 W. Anderson Ln
Austin, TX 78757
(30.354795125000464, -97.72816311599968)"
Keystone Apartments,230669,12/03/2013 12:00:00 AM,6.8,10%,30,Complete,1983,Yes,Electric,49,17.65,02/10/2014 12:00:00 AM,"1319 McKie Dr
Austin, TX 78752
(30.329307816000437, -97.69095725899967)"
Gables Town Lake,382903,05/09/2011 12:00:00 AM,38,15%,16,Needed,1995,No,Electric,256,9.47,02/10/2014 12:00:00 AM,"2600 Lake Austin Blvd
Austin, TX 78703
(30.279459571000473, -97.77417742799969)"
Sausalito Apts,221361,05/01/2011 12:00:00 AM,16,10%,,Needed,1972,Yes,Electric,40,9.94,02/10/2014 12:00:00 AM,"4605 Ave. A
Austin, TX 78751
(30.312874133000435, -97.73042533799969)"
West Annie Street Apartments,303500,02/01/2013 12:00:00 AM,39.7,10%,19,Needed,1974,Yes,Electric,30,12.19,02/10/2014 12:00:00 AM,"1805 NEWTON ST
Austin, TX 78704
(30.24639914700049, -97.7533010249997)"
Penthouse,199720,01/06/2011 12:00:00 AM,51,10%,,Needed,1969,Yes,Gas and Electric,50,9.73,02/10/2014 12:00:00 AM,"1801 Rio Grande St
Austin, TX 78701
(30.28166967900046, -97.74511083299967)"
12th Street Apartments,198774,02/01/2011 12:00:00 AM,15,10%,11,Complete,1996,Yes,Electric,11,7.53,02/10/2014 12:00:00 AM,"3005 E 12th St
Austin, TX 78702
(30.276403794000487, -97.70310574699965)"
Keystone,203419,04/21/2011 12:00:00 AM,75,15%,3,Needed,1948,No,Electric,10,13.93,02/10/2014 12:00:00 AM,"912 W 22 1/2 St
Austin, TX 78705
(30.28637770700044, -97.7476277029997)"
Lone Star Lofts,206213,04/29/2011 12:00:00 AM,75,15%,,Complete,1965,Yes,Electric,51,10.29,02/10/2014 12:00:00 AM,"2408 Leon Street
Austin, TX 78705
(30.288983408000433, -97.74931193299966)"
3903 Peterson,217488,03/29/2011 12:00:00 AM,68,10%,,Needed,1974,Yes,Electric,17,10.04,02/10/2014 12:00:00 AM,"3903 Peterson Ave
Austin, TX 78756
(30.30867540200046, -97.74654396799968)"
Copper Mill,249170,07/08/2011 12:00:00 AM,19,10%,9,Needed,1984,,Electric,319,13.17,02/10/2014 12:00:00 AM,"10000 N Lamar Blvd
Austin, TX 78758
(30.368735625000454, -97.69388748799969)"
108 Place,220077,11/05/2012 12:00:00 AM,80,10%,1,Needed,1972,Yes,Electric,29,9.13,02/10/2014 12:00:00 AM,"4505 AVENUE D
Austin, TX 78751
(30.30937420300046, -97.7291248569997)"
River Oaks Apartments,511568,05/16/2011 12:00:00 AM,58,15%,30,Needed,1997,Yes,Electric,290,10.95,02/10/2014 12:00:00 AM,"6607 Brodie Ln
Austin, TX 78745
(30.21723424500044, -97.82819479399967)"
Georgetown Square,122190,04/06/2011 12:00:00 AM,40,10%,1,Needed,1968,Yes,Gas and Electric,20,9.04,02/10/2014 12:00:00 AM,"4316 Bull Creek
Austin, TX 78731
(30.318145940000477, -97.75496748899968)"
South Fork,511095,12/07/2011 12:00:00 AM,25,10%,1,Needed,1973,Yes,Electric,59,10.8,02/10/2014 12:00:00 AM,"5426 MANCHACA RD
Austin, TX 78745
(30.216637303000482, -97.79667647099967)"
Villages at Lamar,"230106, 230071, 230069, 230073",05/23/2011 12:00:00 AM,27,15%,3,Needed,1972,,Electric,155,11.64,02/10/2014 12:00:00 AM,"6309 Burns St
Austin, TX 78752
(30.330957698000475, -97.72136223699965)"
Rundberg West,250393,05/17/2011 12:00:00 AM,30,15%,13,Needed,1983,Yes,Electric,72,12.44,02/10/2014 12:00:00 AM,"1809 West Rundberg Ln
Austin, TX 78758
(30.371425420000435, -97.71464308199967)"
Guadalupe Court Apartments,230140,01/31/2011 12:00:00 AM,37,15%,,Needed,1969,Yes,Gas and Electric,7,10.39,02/10/2014 12:00:00 AM,"6607 Guadalupe St
Austin, TX 78752
(30.332594552000444, -97.71777465999969)"
Castle Arms,210233,04/13/2011 12:00:00 AM,57,10%,,Needed,1971,Yes,Gas and Electric,30,7.3,02/10/2014 12:00:00 AM,"3121 Speedway
Austin, TX 78705
(30.29618461800044, -97.73629527199967)"
Elm Ridge Apartments,198899,04/19/2011 12:00:00 AM,40,10%,29,Complete,1974,Yes,Gas and Electric,130,10.6,02/10/2014 12:00:00 AM,"1161 Harvey Ln.
Austin, TX 78702
(30.27475924300046, -97.70140631699968)"
Capitol Village Apartments,"225802, 225799",06/03/2011 12:00:00 AM,28,15%,12,Needed,1969,,Electric,309,9.82,02/10/2014 12:00:00 AM,"7033 Hwy 290 East
Austin, TX 78752
(30.322480822000443, -97.70742594499967)"
San Remo,112447,02/15/2011 12:00:00 AM,38,10%,38,Needed,1993,Yes,Electric,17,11.36,02/10/2014 12:00:00 AM,"2204 San Gabriel
Austin, TX 78705
(30.286063838000473, -97.74805172199967)"
Madison at Scofield Farms,369949,04/07/2011 12:00:00 AM,27,15%,7,Needed,1996,No,Gas and Electric,260,8.55,02/10/2014 12:00:00 AM,"13401 Metric Blvd
Austin, TX 78727
(30.423695783000483, -97.68042548899967)"
Mission Reilly Ridge,336625,05/16/2011 12:00:00 AM,14,15%,19,Complete,1986,Yes,Electric,300,12.27,02/10/2014 12:00:00 AM,"6503 Bluff Springs Rd
Austin, TX 78744
(30.19056726500048, -97.76678315899966)"
,106926,01/31/2011 12:00:00 AM,,N\A,,Needed,1977,Yes,Electric,12,13.88,02/10/2014 12:00:00 AM,"1115 W. 9th St
Austin, TX 78703
(30.274674556000434, -97.75501960299965)"
Le Marquee,214669,02/22/2011 12:00:00 AM,27,10%,19,Needed,1968,Yes,Gas and Electric,48,9.27,02/10/2014 12:00:00 AM,"302 W 38th St
Austin, TX 78705
(30.30153578000045, -97.73560831399965)"
8905 Parkfield,246497,05/16/2011 12:00:00 AM,22,10%,9,Needed,1972,No,Gas and Electric,8,12.25,02/10/2014 12:00:00 AM,"8905 Parkfield Dr
Austin, TX 78758
(30.362619334000442, -97.70908109399966)"
River Oaks,206931,01/06/2011 12:00:00 AM,44,10%,,Needed,1962,Yes,Gas and Electric,66,8.44,02/10/2014 12:00:00 AM,"3001 Medical Arts
Austin, TX 78705
(30.290041086000485, -97.72790846799967)"
Burro's Place,199744,05/27/2011 12:00:00 AM,24,10%,6,Needed,1959,No,Gas and Electric,5,9.83,02/10/2014 12:00:00 AM,"507 West 16th Street
Austin, TX 78701
(30.27930441300049, -97.7443575479997)"
Barton's Mill,303325,06/21/2011 12:00:00 AM,30,15%,11,Needed,1987,Yes,Electric,134,11.82,02/10/2014 12:00:00 AM,"2121 Dickson Dr
Austin, TX 78704
(30.24569096200048, -97.78038092299965)"
WindWood,308166,01/24/2011 12:00:00 AM,59,15%,24,Needed,1985,Yes,Electric,32,12.49,02/10/2014 12:00:00 AM,"3810 Valley View Rd
Austin, TX 78704
(30.233695170000487, -97.78332817599966)"
407 W 38th St,545774,09/26/2011 12:00:00 AM,33,10%,13,Needed,1966,No,Gas and Electric,16,10.08,02/10/2014 12:00:00 AM,"407 W 38 ST
Austin, TX 78705
(30.302065212000457, -97.73684246899967)"
PALMS AT WALNUT CREEK,442494,04/29/2011 12:00:00 AM,26,10%,25,Needed,1999,,Gas and Electric,284,7.69,02/10/2014 12:00:00 AM,"8054 EXCHANGE DR
Austin, TX 78754
(30.331284595000454, -97.66584422199969)"
Broadstone Great Hills,439489,12/28/2010 12:00:00 AM,67,15%,14,Complete,1998,No,Gas and Electric,256,6.94,02/10/2014 12:00:00 AM,"8701 Broadstone Cove
Austin, TX 78759
(30.40125117700046, -97.75332664499967)"
Le Med Apartment  Homes,217817,10/14/2010 12:00:00 AM,26,10%,,Complete,1971,Yes,Gas and Electric,88,8.29,02/10/2014 12:00:00 AM,"1200 W. 40th
Austin, TX 78756
(30.308895701000438, -97.74358768199966)"
La Fiesta,208475,05/11/2011 12:00:00 AM,27,10%,,Needed,1967,Yes,Gas and Electric,13,6.59,02/10/2014 12:00:00 AM,"400 E. 30th
Austin, TX 78705
(30.292483338000466, -97.73514284199968)"
Westheimer Courts,229279,01/30/2013 12:00:00 AM,31.1,10%,,Needed,1969,Yes,Gas and Electric,58,9.31,02/10/2014 12:00:00 AM,"1220 CAMINO LA COSTA
Austin, TX 78752
(30.32446831900046, -97.6947864549997)"
Fountain Terrace,211318,05/27/2011 12:00:00 AM,30,10%,,Needed,1966,Yes,Gas and Electric,67,8.42,02/10/2014 12:00:00 AM,"610 W. 30th St
Austin, TX 78705
(30.297045684000466, -97.74268752999967)"
The Saltillo Apartments,227633,06/29/2011 12:00:00 AM,65,10%,11,Needed,1972,Yes,Electric,40,6.96,02/10/2014 12:00:00 AM,"5317 Jeff Davis Ave.
Austin, TX 78756
(30.326884514000483, -97.73875529099968)"
Sycamore Springs,R359319,05/19/2011 12:00:00 AM,52,15%,21,Complete,1997,No,Gas and Electric,518,6.77,02/10/2014 12:00:00 AM,"9801 W. Parmer Ln.
Austin, TX 78729
(30.48706998500046, -97.77113941699969)"
Hillside Creek,285951,05/12/2011 12:00:00 AM,31,10%,11,Needed,1981,Yes,Electric,268,8.85,02/10/2014 12:00:00 AM,"1706 E Oltorf St
Austin, TX 78741
(30.232937147000484, -97.7383810179997)"
"901, 903 SPRINGDALE","192538, 192539",11/14/2012 12:00:00 AM,,N\A,,Needed,1965,No,Electric,20,12.16,02/10/2014 12:00:00 AM,"903 SPRINGDALE RD
Austin, TX 78702
(30.260924746000455, -97.69851497599967)"
Atrium Apartments,214663,10/31/2012 12:00:00 AM,,N\A,,Needed,1973,Yes,Electric,12,8.09,02/10/2014 12:00:00 AM,"210 W 38 ST
Austin, TX 78705
(30.301355750000482, -97.73522811899966)"
Plum Tree Apartments,303241,03/10/2010 12:00:00 AM,32,15%,,Needed,1979,Yes,Electric,12,15.03,02/10/2014 12:00:00 AM,"2110 Kinney Avenue
Austin, TX 78704
(30.248636496000472, -97.77055550299968)"
Legacy,"223344, 223341",05/23/2011 12:00:00 AM,20,10%,1,Needed,1969,Yes,Gas and Electric,137,11.14,02/10/2014 12:00:00 AM,"1100 Reinlt St
Austin, TX 78723
(30.307581548000485, -97.68754760699966)"
Pecan Apartments,212549,05/01/2011 12:00:00 AM,75,10%,11,Needed,1978,Yes,Gas and Electric,27,11.9,02/10/2014 12:00:00 AM,"506 W. 37th
Austin, TX 78705
(30.301756081000462, -97.73813821399966)"
51st Creekside Apartments,213610,12/04/2012 12:00:00 AM,39,10%,12,Needed,1967,Yes,Electric,42,9.31,02/10/2014 12:00:00 AM,"2215 E 51 ST
Austin, TX 78723
(30.299953410000455, -97.6896058479997)"
Acacia Cliffs,136149,05/04/2011 12:00:00 AM,14,10%,9,Needed,1974,Yes,Electric,284,6.33,02/10/2014 12:00:00 AM,"7201 Hart Ln
Austin, TX 78731
(30.355669220000436, -97.7561211039997)"
Conquistador,217945,04/11/2011 12:00:00 AM,71,10%,,Needed,1967,Yes,Gas and Electric,18,8.85,02/10/2014 12:00:00 AM,"4412 Avenue A
Austin, TX 78751
(30.31016657300046, -97.73224577599967)"
Lexington Hills,292128,03/08/2011 12:00:00 AM,19,10%,22,Needed,1986,Yes,Electric,239,11.19,02/10/2014 12:00:00 AM,"2430 Cromwell Cir
Austin, TX 78741
(30.22655673400044, -97.72118457499965)"
Carlton Square,226338,03/29/2011 12:00:00 AM,63,10%,,Needed,1968,Yes,Gas and Electric,22,6.7,02/10/2014 12:00:00 AM,"1501 W. North Loop
Austin, TX 78756
(30.32479521500045, -97.73727240999966)"
Palm Square Apartments,228223,02/18/2011 12:00:00 AM,58,15%,,Needed,1969,Yes,Electric,16,10.64,02/10/2014 12:00:00 AM,"1402 E. St Johns Ave
Austin, TX 78752
(30.325775907000434, -97.69167856399969)"
Cameron Greens,223354,11/12/2012 12:00:00 AM,66.7,10%,,Needed,1968,Yes,Electric,181,11.17,02/10/2014 12:00:00 AM,"5700 CAMERON RD
Austin, TX 78723
(30.31526308800045, -97.70218782999967)"
THE VILLAGE AT RIVERSIDE APARTMENTS,287920,05/02/2011 12:00:00 AM,54,15%,25,Needed,1999,,Gas and Electric,156,9.82,02/10/2014 12:00:00 AM,"1500 CROSSING PLACE
Austin, TX 78741
(30.234687705000454, -97.71513579599969)"
Terrace Cove Apartments,335761,09/09/2010 12:00:00 AM,26,15%,22,Needed,1986,Yes,Electric,304,13.23,02/10/2014 12:00:00 AM,"6201 Sneed Cove
Austin, TX 78744
(30.194273282000438, -97.76391570299967)"
Hunter's Chase Apartments,R065343,05/27/2011 12:00:00 AM,53,15%,21,Complete,1983,No,Electric,215,14.81,02/10/2014 12:00:00 AM,"12342 Hunter's Chase Drive
Austin, TX 78729
(30.44222587000047, -97.7715018459997)"
